n04403638	telescope, scope
n04058594	readout, read-out
n10038409	duchess
n02425228	bushbuck, guib, Tragelaphus scriptus
n12426623	mountain lily, Lilium auratum
n02537319	brown trout, salmon trout, Salmo trutta
n02761834	automobile horn, car horn, motor horn, horn, hooter
n13000891	mushroom
n03788195	mosque
n07770763	pumpkin seed
n02042759	kittiwake
n10145902	great grandson
n04563204	waterwheel, water wheel
n02089468	sausage dog, sausage hound
n07806221	salad
n12807409	American sycamore, American plane, buttonwood, Platanus occidentalis
n01844231	trogon
n01536644	song sparrow, Melospiza melodia
n11806219	mountain sandwort, mountain starwort, mountain daisy, Arenaria groenlandica
n01820546	lorikeet
n08547544	crest
n02858304	boat
n04277352	spindle
n12911440	tomatillo, jamberry, Mexican husk tomato, Physalis ixocarpa
n07913393	Bloody Mary
n07575510	tea, afternoon tea, teatime
n03586219	iron lung
n03074855	comb
n01531971	redpoll, Carduelis hornemanni
n02883004	bowsprit
n07560331	finger food
n02626762	tuna, tunny
n03063968	coffee table, cocktail table
n10431625	picker, chooser, selector
n01549430	pewee, peewee, peewit, pewit, wood pewee, Contopus virens
n03919096	personnel carrier
n07884567	alcohol, alcoholic drink, alcoholic beverage, intoxicant, inebriant
n01558993	robin, American robin, Turdus migratorius
n02943871	camera tripod
n07615190	peach ice cream
n02361337	marmot
n03660909	library
n02045864	razorbill, razor-billed auk, Alca torda
n12909421	petunia
n01631663	eft
n12578916	cowpea, black-eyed pea
n12798284	alumroot, alumbloom
n01813385	turtledove
n09421799	sandbank
n07590611	hot pot, hotpot
n12544539	lentil
n12387633	viola
n11733312	larkspur
n02425887	sable antelope, Hippotragus niger
n02065026	finback, finback whale, fin whale, common rorqual, Balaenoptera physalus
n04104384	Roman arch, semicircular arch
n03889871	parasol, sunshade
n01752736	asp, asp viper, Vipera aspis
n03815149	necklet
n02460009	anteater, New World anteater
n03349892	first class
n02885462	boxing glove, glove
n01503061	bird
n10318293	mill-hand, factory worker
n02119634	kit fox, prairie fox, Vulpes velox
n01904886	oyster shell
n12414932	dwarf iris, vernal iris, Iris verna
n03541923	hot-air balloon
n03124170	cowboy hat, ten-gallon hat
n07654148	barbecue, barbeque
n03498441	hatbox
n02483708	siamang, Hylobates syndactylus, Symphalangus syndactylus
n04437953	timepiece, timekeeper, horologe
n01888264	buck
n03389889	four-wheeler
n05581932	cuticle
n02087551	hound, hound dog
n13137409	berry
n12866162	clary, Salvia sclarea
n07860988	dough
n04162433	seat
n12316572	sweet gum, sweet gum tree, bilsted, red gum, American sweet gum, Liquidambar styraciflua
n11792029	pothos
n04064862	recovery room
n04112252	rotor blade, rotary wing
n02048353	tufted puffin, Lunda cirrhata
n03652100	lead pencil
n01594787	barn swallow, chimney swallow, Hirundo rustica
n12006766	coneflower
n12606438	commelina
n07867421	fondue, fondu
n07746551	carambola, star fruit
n03857828	oscilloscope, scope, cathode-ray oscilloscope, CRO
n07920222	caffe latte, latte
n03733644	measure
n03443371	goblet
n01597336	tanager
n12703557	creeping oxalis, creeping wood sorrel, Oxalis corniculata
n12046028	bog rose, wild pink, dragon's mouth, Arethusa bulbosa
n12412355	bearded iris
n03788498	motel
n07887192	suds
n07574780	continental breakfast, petit dejeuner
n02846511	blackboard, chalkboard
n07601572	candy cane
n07691539	brioche
n02052204	white pelican, Pelecanus erythrorhynchos
n01849466	sheldrake
n09438940	snowdrift
n07894799	Chardonnay, Pinot Chardonnay
n03150232	curler, hair curler, roller, crimper
n15067877	tear gas, teargas, lacrimator, lachrymator
n04064401	record player, phonograph
n12623077	harvest-lice, Agrimonia eupatoria
n07891433	sake, saki, rice beer
n07927512	pop, soda, soda pop, soda water, tonic
n01848840	American widgeon, baldpate, Anas americana
n04594489	wire, conducting wire
n07740220	Delicious
n02731398	apse, apsis
n01560793	stonechat, Saxicola torquata
n01593028	bushtit, bush tit
n04610013	yacht, racing yacht
n04120489	running shoe
n02454379	armadillo
n07920872	mocha, mocha coffee
n03845190	oil tanker, oiler, tanker, tank ship
n03885904	pantyhose
n02021050	trumpeter
n04236935	sleigh bell, cascabel
n02947660	canal boat, narrow boat, narrowboat
n10275395	loyalist, stalwart
n04156946	scull
n07579575	entree, main course
n12645174	almond, sweet almond, Prunus dulcis, Prunus amygdalus, Amygdalus communis
n04399158	tea urn
n03836062	nursery, baby's room
n07874159	pepperoni pizza
n12566954	kudzu, kudzu vine, Pueraria lobata
n07734744	mushroom
n01323261	suckling
n09989502	dancer, professional dancer, terpsichorean
n04226826	skeleton key
n04592465	winery, wine maker
n11926833	arnica
n02758960	autoclave, sterilizer, steriliser
n02655848	porcupinefish, porcupine fish, Diodon hystrix
n02834397	bib
n03627232	knot
n11636204	Japanese cedar, Japan cedar, sugi, Cryptomeria japonica
n08517676	bus stop
n07842308	scrambled eggs
n07840027	veloute
n02811350	batting helmet
n02221083	fire ant
n02064816	blue whale, sulfur bottom, Balaenoptera musculus
n01317916	feeder
n04571566	weir
n10530150	rider
n04132603	samisen, shamisen
n01803362	ring-necked pheasant, Phasianus colchicus
n01882714	koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus
n03919430	pestle, muller, pounder
n02329401	rodent, gnawer
n02175916	stag beetle
n09210862	atoll
n12724942	willow, willow tree
n03623556	knife
n03646296	lathe
n01560935	whinchat, Saxicola rubetra
n12733647	aspen
n07765361	guava
n02980441	castle
n03238879	dress shirt, evening shirt
n07684600	quick bread
n03409591	gable roof, saddle roof, saddleback, saddleback roof
n03963198	platter
n01956481	clam
n03522100	hip roof, hipped roof
n01688243	frilled lizard, Chlamydosaurus kingi
n02791270	barbershop
n02501583	tarsier
n03527444	holster
n03467068	guillotine
n04571958	weld
n02908773	Brussels carpet
n13019835	deer mushroom, Pluteus cervinus
n04296562	stage
n10005934	deputy
n08677424	veld, veldt
n02010272	cattle egret, Bubulcus ibis
n07767847	pear
n06271778	telecommunication, telecom
n02431785	wapiti, elk, American elk, Cervus elaphus canadensis
n02788148	bannister, banister, balustrade, balusters, handrail
n09633969	wrongdoer, offender
n12414035	Japanese iris, Iris kaempferi
n03016389	chicken coop, coop, hencoop, henhouse
n03367410	florist, florist shop, flower store
n03983396	pop bottle, soda bottle
n02672831	accordion, piano accordion, squeeze box
n02861387	bodice
n04590933	Windsor chair
n02880940	bowl
n09836160	bullfighter, toreador
n04392113	tape, tapeline, tape measure
n01324610	herbivore
n01323493	dam
n03072201	color television, colour television, color television system, colour television system, color TV, colour TV
n03261019	earflap, earlap
n01564217	ruby-crowned kinglet, ruby-crowned wren, Regulus calendula
n03985069	portable
n07734017	tomato
n11724109	red baneberry, redberry, red-berry, snakeberry, Actaea rubra
n03678729	little theater, little theatre
n04607035	wrestling mat
n13132656	panicle
n04289027	sprinkler
n10692482	taster, taste tester, taste-tester, sampler
n01850553	Barrow's goldeneye, Bucephala islandica
n07841907	Easter egg
n04423845	thimble
n03706653	magnetic disk, magnetic disc, disk, disc
n02969323	carriageway
n13223710	ground fir, princess pine, tree clubmoss, Lycopodium obscurum
n04173046	septic tank
n04603729	worktable, work table
n04553703	washbasin, handbasin, washbowl, lavabo, wash-hand basin
n04606251	wreck
n11789066	skunk cabbage, Lysichiton americanum
n02273392	common European earwig, Forficula auricularia
n03782190	monitor, monitoring device
n02705429	amphora
n11760785	calliandra
n06281040	reception
n03211789	display window, shop window, shopwindow, show window
n03445777	golf ball
n03352628	fishnet, fishing net
n01629819	European fire salamander, Salamandra salamandra
n02801938	basket, handbasket
n07899899	Yquem
n03871628	packet
n13022709	mycelium
n04322801	stock car
n12312728	kangaroo paw, kangaroo's paw, kangaroo's-foot, kangaroo-foot plant, Australian sword lily, Anigozanthus manglesii
n12173912	rose mallow, Alcea rosea, Althea rosea
n03546235	housetop
n03429914	gauze, netting, veiling
n02508021	raccoon, racoon
n09627906	recipient, receiver
n12164881	winter melon, Persian melon, honeydew melon, winter melon vine, Cucumis melo inodorus
n03340723	finder, viewfinder, view finder
n02009229	little blue heron, Egretta caerulea
n02894337	breakfast table
n02276078	painted beauty, Vanessa virginiensis
n02842573	biplane
n12922763	croton, Croton tiglium
n01934440	annelid, annelid worm, segmented worm
n01573360	western meadowlark, Sturnella neglecta
n12024690	dandelion green
n01514859	hen
n03233905	drawer
n04590263	windowsill
n12158031	gourd
n12992177	Iceland moss, Iceland lichen, Cetraria islandica
n03167978	deck
n02484473	Old World monkey, catarrhine
n02586543	snapper
n11725015	anemone, windflower
n12422129	jonquil
n12329260	crape myrtle, crepe myrtle, crepe flower, Lagerstroemia indica
n04069276	reflector
n04358491	superhighway, information superhighway
n12583401	palmetto
n03760310	microprocessor
n03987266	portrait camera
n02764779	axle
n04315948	stereo, stereophony, stereo system, stereophonic system
n04548280	wall clock
n12158443	pumpkin, pumpkin vine, autumn pumpkin, Cucurbita pepo
n10380672	orator, speechmaker, rhetorician, public speaker, speechifier
n07684517	raisin bread
n07595914	powdered sugar
n04482177	tricorn, tricorne
n04087826	ribbing
n01439514	carp
n12685431	geranium
n04299215	stall, stand, sales booth
n01321579	young, offspring
n03098688	control room
n01956344	spat
n11816829	bladder campion, Silene uniflora, Silene vulgaris
n10674713	sumo wrestler
n10734394	twin
n12658118	mountain ash
n02325366	wood rabbit, cottontail, cottontail rabbit
n04061793	reception room
n02382338	plow horse, plough horse
n10157128	halfback
n01858780	cob
n12489815	bird of paradise, poinciana, Caesalpinia gilliesii, Poinciana gilliesii
n02085620	Chihuahua
n02123917	Burmese cat
n01489501	bull shark, cub shark, Carcharhinus leucas
n01314663	critter
n07591473	fish stew
n07691650	crescent roll, croissant
n12278650	cork oak, Quercus suber
n04434932	tights, leotards
n01575401	red-winged blackbird, redwing, Agelaius phoeniceus
n03721384	marimba, xylophone
n12710693	sweet orange, sweet orange tree, Citrus sinensis
n11915899	everlasting, everlasting flower
n03386011	fortress, fort
n12830222	achimenes, hot water plant
n04081699	rest house
n02619165	goby, gudgeon
n04254777	sock
n10602985	sister, sis
n05586759	exoskeleton
n03849679	openwork
n06272803	call, phone call, telephone call
n03063599	coffee mug
n07870894	lobster thermidor
n02739668	armor, armour
n03332271	fiddlestick, violin bow
n11665372	angiosperm, flowering plant
n03764822	milk float
n03239726	drill
n04313628	stele, stela
n02210427	andrena, andrenid, mining bee
n04173907	serape, sarape
n02070430	porpoise
n02279257	peacock, peacock butterfly, Inachis io
n12190410	kapok, ceiba tree, silk-cotton tree, white silk-cotton tree, Bombay ceiba, God tree, Ceiba pentandra
n03235796	drawstring bag
n03200231	dining area
n12540250	beach pea, sea pea, Lathyrus maritimus, Lathyrus japonicus
n07873807	pizza, pizza pie
n01681940	horned lizard, horned toad, horny frog
n04525038	velvet
n13897996	balance, equilibrium, equipoise, counterbalance
n02027357	least sandpiper, stint, Erolia minutilla
n01784675	centipede
n01900150	hair
n02092468	terrier
n01527347	hedge sparrow, sparrow, dunnock, Prunella modularis
n03510244	heat sink
n04026417	purse
n04453910	top, cover
n07655263	saute
n02387346	shire, shire horse
n02802426	basketball
n03010473	chassis
n02968074	carport, car port
n09889941	camper
n01874434	marsupial, pouched mammal
n01854700	goosander, Mergus merganser
n03590306	jacket
n02692232	airport, airdrome, aerodrome, drome
n10049363	electrician, lineman, linesman
n02110627	affenpinscher, monkey pinscher, monkey dog
n04321453	stob
n01818299	amazon
n03484931	hand glass, simple microscope, magnifying glass
n04262161	sounding board, soundboard
n01557185	thrush
n03497657	hat, chapeau, lid
n07712267	yam
n12757303	bearberry, possum haw, winterberry, Ilex decidua
n04132158	salwar, shalwar
n07601809	caramel
n07625061	samosa
n03063073	coffee cup
n03438661	glass
n07572957	canned food, canned foods, canned goods, tinned goods
n09832456	baggage
n07720615	sweet pepper
n10098624	flyweight
n02730930	apron
n12455950	gloriosa, glory lily, climbing lily, creeping lily, Gloriosa superba
n04100519	rodeo
n03454536	grate, grating
n11966083	daisy fleabane, Erigeron annuus
n07586894	petite marmite, minestrone, vegetable soup
n04257790	solar array, solar battery, solar panel
n07585107	chicken broth, chicken stock
n02775178	baggage claim
n03952576	pizzeria, pizza shop, pizza parlor
n04000592	press box
n04121511	saber, sabre
n09990415	dancer, social dancer
n09717233	Sabine
n03274265	electric toothbrush
n02760429	automatic firearm, automatic gun, automatic weapon
n03617480	kimono
n12185859	bush hibiscus, Radyera farragei, Hibiscus farragei
n01544389	zebra finch, Poephila castanotis
n03858183	otoscope, auriscope, auroscope
n04172776	sentry box
n02950826	cannon
n03614782	keyhole
n11759404	silk tree, Albizia julibrissin, Albizzia julibrissin
n04347119	subcompact, subcompact car
n07888229	Pilsner, Pilsener
n03956623	planking
n10353016	neonate, newborn, newborn infant, newborn baby
n12334293	gum tree, gum
n01321854	young mammal
n02950256	cannon
n11862835	flame flower, flame-flower, flameflower, Talinum aurantiacum
n12462805	squill
n12006930	Mexican hat, Ratibida columnaris
n01598074	summer tanager, summer redbird, Piranga rubra
n03165616	day school
n03970546	plush
n13221529	club moss, club-moss, lycopod
n04266375	spacesuit
n03906997	pen
n01451426	soldierfish, soldier-fish
n02176261	elaterid beetle, elater, elaterid
n02091134	whippet
n11700058	mayapple, May apple, wild mandrake, Podophyllum peltatum
n01620735	king vulture, Sarcorhamphus papa
n04327204	stoop, stoep
n07804323	rice
n02824058	beer mug, stein
n11712282	tulip tree, tulip poplar, yellow poplar, canary whitewood, Liriodendron tulipifera
n12588780	caranday, caranda, caranda palm, wax palm, Copernicia australis, Copernicia alba
n03469175	gun enclosure, gun turret, turret
n07749582	lemon
n03550289	hutch
n04027023	push button, push, button
n03019685	chin rest
n03111177	cornice
n03776460	mobile home, manufactured home
n03927539	photostat
n09877951	buddy, brother, chum, crony, pal, sidekick
n04165409	sectional
n03826186	Nissen hut, Quonset hut
n10368528	nymph, houri
n04292921	squeegee
n02988963	CD-ROM drive
n04046974	rail fence
n01840775	redheaded woodpecker, redhead, Melanerpes erythrocephalus
n04046590	rail
n03287351	energizer, energiser
n11623105	cedar, cedar tree, true cedar
n02488702	colobus, colobus monkey
n02881757	bowler hat, bowler, derby hat, derby, plug hat
n02055803	penguin
n03031422	cigar lighter, cigarette lighter, pocket lighter
n10317500	military policeman, MP
n03855333	oriel, oriel window
n04033901	quill, quill pen
n04565375	weapon, arm, weapon system
n02100399	setter
n02920259	bunk bed, bunk
n02843553	bird feeder, birdfeeder, feeder
n12352287	banana, banana tree
n02426813	eland
n04492749	truss bridge
n12570703	mescal bean, coral bean, frijolito, frijolillo, Sophora secundiflora
n03050546	clothes closet, clothespress
n09215437	basin
n04476972	tread
n13077295	mildew
n03693474	love seat, loveseat, tete-a-tete, vis-a-vis
n01839598	flicker
n07578093	banquet, feast, spread
n03775071	mitten
n03033986	circuit board, circuit card, board, card, plug-in, add-in
n07599998	chewing gum, gum
n12441183	asparagus, edible asparagus, Asparagus officinales
n07586485	oxtail soup
n11686912	sporophyte
n12908645	cupflower, nierembergia
n07820497	sage
n08579352	grainfield, grain field
n02032480	great snipe, woodcock snipe, Gallinago media
n01813088	wood pigeon, ringdove, cushat, Columba palumbus
n07886057	home brew, homebrew
n01622120	little owl, Athene noctua
n02573704	bluefish, Pomatomus saltatrix
n01538200	yellowhammer, yellow bunting, Emberiza citrinella
n02800213	baseball glove, glove, baseball mitt, mitt
n07725888	sugar snap pea
n03498662	hatchback, hatchback door
n04308397	stealth fighter
n09856671	birth
n02823124	beeper, pager
n03089879	conference room
n02995345	central processing unit, CPU, C.P.U., central processor, processor, mainframe
n02549248	frogfish
n11808468	carnation, clove pink, gillyflower, Dianthus caryophyllus
n03319745	family room
n02786058	Band Aid
n03366974	floor joist
n08598301	grassland
n12676703	trumpet honeysuckle, coral honeysuckle, trumpet flower, trumpet vine, Lonicera sempervirens
n03410938	gaiter
n12890265	veronica, speedwell
n12992868	fungus
n03891332	parking meter
n02676938	acropolis
n02077152	fur seal
n03128248	crayon, wax crayon
n02332755	field mouse, fieldmouse
n02564720	black bass
n03101796	cookie sheet, baking tray
n04313503	steering wheel, wheel
n03291819	envelope
n02403740	heifer
n07612367	whip
n01622483	great horned owl, Bubo virginianus
n09283866	foreshore
n02188699	dipterous insect, two-winged insects, dipteran, dipteron
n12717072	ailanthus
n02108089	boxer
n01540832	hawfinch, Coccothraustes coccothraustes
n02378969	hack
n02137015	genet, Genetta genetta
n04588739	window
n13020481	Volvariella bombycina
n09193705	alp
n02152881	prey, quarry
n03859608	outfall
n09918248	child, kid
n07721942	cayenne, cayenne pepper
n07711569	mashed potato
n03661340	lid
n12269406	coast live oak, California live oak, Quercus agrifolia
n01769347	arachnid, arachnoid
n03926148	photographic equipment
n07730406	celery
n09607630	appointee, appointment
n11838916	bougainvillea
n03880531	pan, cooking pan
n02796318	barrette
n02096756	schnauzer
n03455488	gravestone, headstone, tombstone
n01321123	hen
n09749386	Guinean
n02088094	Afghan hound, Afghan
n04589593	window frame
n02870676	book bag
n04074963	remote control, remote
n03002096	chair
n02060889	storm petrel
n04393095	tape recorder, tape machine
n04033425	queen
n04019101	public transport
n02376679	filly
n02003839	jabiru, Jabiru mycteria
n04404997	television camera, tv camera, camera
n12651229	Pyracantha, pyracanth, fire thorn, firethorn
n03222318	door
n03062336	cocotte
n02049088	loon, diver
n01503976	dickeybird, dickey-bird, dickybird, dicky-bird
n12480895	sansevieria, bowstring hemp
n11969166	Joe-Pye weed, purple boneset, trumpet weed, marsh milkweed, Eupatorium purpureum
n03815482	neckpiece
n03790755	motor hotel, motor inn, motor lodge, tourist court, court
n07753448	anchovy pear, river pear
n12048399	caladenia
n02169974	Colorado potato beetle, Colorado beetle, potato bug, potato beetle, Leptinotarsa decemlineata
n02000954	wading bird, wader
n04094720	riser
n03196217	digital clock
n01531344	linnet, lintwhite, Carduelis cannabina
n02241426	true bug
n13139055	pod, seedpod
n02731629	aqualung, Aqua-Lung, scuba
n07814487	clove
n11923397	yellow chamomile, golden marguerite, dyers' chamomile, Anthemis tinctoria
n02783324	ballroom, dance hall, dance palace
n03961711	plate rack
n12726670	weeping willow, Babylonian weeping willow, Salix babylonica
n04354487	sump pump
n03321954	fan vaulting
n07725376	pea
n10187990	hotelier, hotelkeeper, hotel manager, hotelman, hosteller
n07879659	tamale
n02739889	armored car, armoured car
n11950877	crown daisy, Chrysanthemum coronarium
n01619835	Andean condor, Vultur gryphus
n01592387	tufted titmouse, Parus bicolor
n02773037	bag
n03873416	paddle, boat paddle
n11759853	rain tree, saman, monkeypod, monkey pod, zaman, zamang, Albizia saman
n12634211	wild apple, crab apple, crabapple
n07713074	eggplant, aubergine, mad apple
n03517647	hideaway, retreat
n09930876	clown, buffoon, goof, goofball, merry andrew
n01424420	plasmodium, Plasmodium vivax, malaria parasite
n03210372	dispatch case, dispatch box
n03000134	chainlink fence
n03524150	hockey stick
n01820348	lory
n07753743	passion fruit
n03173387	delicatessen, deli, food shop
n04589325	window box
n12587803	coconut, coconut palm, coco palm, coco, cocoa palm, coconut tree, Cocos nucifera
n04161981	seat
n02892201	brass, memorial tablet, plaque
n12755225	box elder, ash-leaved maple, Acer negundo
n01492569	smoothhound, smoothhound shark, Mustelus mustelus
n07697537	hotdog, hot dog, red hot
n02153203	game bird
n05578095	heel
n01514668	cock
n02935891	cafeteria
n07889814	bitter
n01699040	caiman, cayman
n02111277	Newfoundland, Newfoundland dog
n02057330	rock hopper, crested penguin
n02016066	spotted crake, Porzana porzana
n12282737	downy birch, white birch, Betula pubescens
n12950314	common valerian, garden heliotrope, Valeriana officinalis
n04340750	strongbox, deedbox
n03709206	magnifier
n08649711	bedside
n04508949	underwear, underclothes, underclothing
n02415577	bighorn, bighorn sheep, cimarron, Rocky Mountain bighorn, Rocky Mountain sheep, Ovis canadensis
n04067658	reel
n04478512	trellis, treillage
n03532342	hook
n12294871	great yellow gentian, Gentiana lutea
n07576577	cookout
n02213788	yellow jacket, yellow hornet, Vespula maculifrons
n03790230	motorboat, powerboat
n09854421	billiard player
n04583620	widebody aircraft, wide-body aircraft, wide-body, twin-aisle airplane
n01794344	turkey cock, gobbler, tom, tom turkey
n03287733	engine
n02871147	bookmark, bookmarker
n02027492	red-backed sandpiper, dunlin, Erolia alpina
n02209624	bumblebee, humblebee
n03628511	kremlin
n07843636	fried egg
n04417672	thatch, thatched roof
n04207903	shoulder pad
n07584110	consomme
n11761202	conacaste, elephant's ear, Enterolobium cyclocarpa
n02080415	elephant seal, sea elephant
n03915437	percussion instrument, percussive instrument
n12621410	damask rose, summer damask rose, Rosa damascena
n12044467	aerides
n07938313	soul food
n03617312	kilt
n02011016	yellow-crowned night heron, Nyctanassa violacea
n12454949	Darwin tulip
n07574426	refection
n11830906	saltbush
n02424085	bongo, Tragelaphus eurycerus, Boocercus eurycerus
n03530910	hood, bonnet, cowl, cowling
n01772222	spider
n03621049	kitchen utensil
n12757458	inkberry, gallberry, gall-berry, evergreen winterberry, Ilex glabra
n04543158	wagon, waggon
n03132776	crinoline
n09840217	baron, big businessman, business leader, king, magnate, mogul, power, top executive, tycoon
n07836838	chocolate sauce, chocolate syrup
n01828556	kookaburra, laughing jackass, Dacelo gigas
n03132076	cricket bat, bat
n02097658	silky terrier, Sydney silky
n07892512	red wine
n04346328	stupa, tope
n02024479	golden plover
n07752377	dried fruit
n12833149	African violet, Saintpaulia ionantha
n12036939	campanula, bellflower
n03529629	homestead
n02327028	jackrabbit
n03332393	field artillery, field gun
n02938886	calculator, calculating machine
n11888800	damask violet, Dame's violet, sweet rocket, Hesperis matronalis
n04024983	punt
n12478768	cabbage tree, grass tree, Cordyline australis
n03326948	felt-tip pen, felt-tipped pen, felt tip, Magic Marker
n09701833	Englishwoman
n03981566	pontoon
n07917133	Sazerac
n03539678	horse-trail
n12038406	clustered bellflower, Campanula glomerata
n03476083	hairpiece, false hair, postiche
n12841007	creeping bugle, Ajuga reptans
n07609215	sugar candy
n02931836	caber
n11773987	oleander, rose bay, Nerium oleander
n13148208	Boston ivy, Japanese ivy, Parthenocissus tricuspidata
n12649317	oriental cherry, Japanese cherry, Japanese flowering cherry, Prunus serrulata
n11876432	brussels sprout, Brassica oleracea gemmifera
n03769881	minibus
n03146449	cul, cul de sac, dead end
n04340935	stronghold, fastness
n07556406	comfort food
n01500091	manta, manta ray, devilfish
n04283096	spoiler
n03075768	comforter, pacifier, baby's dummy, teething ring
n03914831	percale
n01792158	cock, rooster
n11970586	gaillardia
n03555662	hypodermic syringe, hypodermic, hypo
n02324045	rabbit, coney, cony
n05238282	skin, tegument, cutis
n10145340	great grandchild
n04584207	wig
n04335435	streetcar, tram, tramcar, trolley, trolley car
n10104064	boss
n07842202	poached egg, dropped egg
n11487732	parhelion, mock sun, sundog
n03643253	laser, optical maser
n01562014	bluebird
n04217546	signal box, signal tower
n09782397	alderman
n04505036	typewriter
n03591798	jacquard
n02099997	pointer, Spanish pointer
n04046277	raglan
n03992703	pottery, clayware
n10226413	juggler
n12345899	mangrove, Rhizophora mangle
n12822115	forget-me-not, mouse ear, Myosotis scorpiodes
n04239786	slingback, sling
n07822197	catsup, ketchup, cetchup, tomato ketchup
n02643112	scorpionfish, scorpion fish, sea scorpion
n10595164	sibling, sib
n12545635	bird's foot trefoil, bird's foot clover, babies' slippers, bacon and eggs, Lotus corniculatus
n03690938	lotion
n02030996	woodcock
n07710952	baked potato
n04246271	smocking
n01684133	skink, scincid, scincid lizard
n02807523	bath oil
n04008634	projectile, missile
n03892557	parsonage, vicarage, rectory
n02732572	arabesque
n03484083	handcart, pushcart, cart, go-cart
n06255081	vehicle
n12121610	fescue, fescue grass, meadow fescue, Festuca elatior
n02839592	billiard room, billiard saloon, billiard parlor, billiard parlour, billiard hall
n03436549	gift wrapping
n02818832	bed
n02605936	angelfish
n07583066	guacamole
n02423589	springbok, springbuck, Antidorcas marsupialis, Antidorcas euchore
n01573898	bobolink, ricebird, reedbird, Dolichonyx oryzivorus
n02339376	vole, field mouse
n07612632	pudding
n07594066	cake mix
n03142679	crystal, watch crystal, watch glass
n04582349	wicker basket
n02808440	bathtub, bathing tub, bath, tub
n09260907	cultivated land, farmland, plowland, ploughland, tilled land, tillage, tilth
n07697825	bomber, grinder, hero, hero sandwich, hoagie, hoagy, Cuban sandwich, Italian sandwich, poor boy, sub, submarine, submarine sandwich, torpedo, wedge, zep
n01748906	hamadryad, king cobra, Ophiophagus hannah, Naja hannah
n01916925	stony coral, madrepore, madriporian coral
n02917377	bullhorn, loud hailer, loud-hailer
n02122948	kitten, kitty
n01888045	calf
n03356559	flamethrower
n13001366	horse mushroom, Agaricus arvensis
n02934451	cable car, car
n15102455	chipboard, hardboard
n09923561	circus acrobat
n07879953	tempura
n11807525	snow-in-summer, love-in-a-mist, Cerastium tomentosum
n11774513	frangipani, frangipanni
n02535759	landlocked salmon, lake salmon
n07685730	rye bread
n02391508	grevy's zebra, Equus grevyi
n07763629	kiwi, kiwi fruit, Chinese gooseberry
n01611969	kestrel, Falco tinnunculus
n10332385	mother, female parent
n02373336	odd-toed ungulate, perissodactyl, perissodactyl mammal
n03294048	equipment
n02952109	canopy
n14820180	concrete
n03209359	disk clutch
n02793495	barn
n03958227	plastic bag
n01666228	common snapping turtle, snapper, Chelydra serpentina
n07747055	citrus, citrus fruit, citrous fruit
n02944579	camouflage, camo
n11731659	purple clematis, purple virgin's bower, mountain clematis, Clematis verticillaris
n03466600	guided missile frigate
n02883205	bow tie, bow-tie, bowtie
n01571904	New World oriole, American oriole, oriole
n13022210	winter mushroom, Flammulina velutipes
n03047941	cloister
n01713764	tyrannosaur, tyrannosaurus, Tyrannosaurus rex
n07684289	nan, naan
n07825972	soy sauce, soy
n02708433	analog watch
n01397114	alga, algae
n01317813	feeder
n12491826	cassia
n01982068	European spider crab, king crab, Maja squinado
n03577090	integrated circuit, microcircuit
n04432662	ticking
n10175248	high priest
n10559996	schoolmaster
n03736970	mechanical device
n02683791	after-shave, after-shave lotion
n03214253	ditch
n03870290	pacemaker, artificial pacemaker
n01322685	cub, young carnivore
n10406266	patriarch
n01670092	tortoise
n03918480	personal computer, PC, microcomputer
n01317089	beast of burden, jument
n03051540	clothing, article of clothing, vesture, wear, wearable, habiliment
n02072798	white whale, beluga, Delphinapterus leucas
n03100240	convertible
n03284308	empty
n12869061	hedge nettle, Stachys palustris
n03147280	culvert
n02644113	rockfish
n10348526	Navy SEAL, SEAL
n03297103	espadrille
n02763306	auxiliary storage, external storage, secondary storage
n11779300	arum, aroid
n11721337	lesser celandine, pilewort, Ranunculus ficaria
n08539072	business district, downtown
n02741475	armrest
n02482650	pygmy chimpanzee, bonobo, Pan paniscus
n09376786	oceanfront
n09841696	base runner, runner
n13132338	flower cluster
n03802393	muslin
n10095769	flatmate
n03355925	flagpole, flagstaff
n04309049	steam engine
n01629962	spotted salamander, fire salamander, Salamandra maculosa
n02738859	arm guard, arm pad
n10387324	right-handed pitcher, right-hander
n12605683	yellow-eyed grass
n04559910	water glass
n04200258	shoebox
n09835230	ball hawk
n03373237	fly
n01668665	slider, yellow-bellied terrapin, Pseudemys scripta
n09742101	Floridian
n01746359	coral snake, Old World coral snake
n04520170	van
n03346135	fire iron
n02787435	bangle, bauble, gaud, gewgaw, novelty, fallal, trinket
n03619890	kitchen
n02169497	leaf beetle, chrysomelid
n04234455	slat, spline
n07900825	port, port wine
n12004547	stevia
n04453037	tooth
n07757132	cherry
n03067518	cold frame
n01319467	marine animal, marine creature, sea animal, sea creature
n01549886	phoebe, phoebe bird, Sayornis phoebe
n07583197	soup
n04045644	rafter, balk, baulk
n02431337	hart, stag
n02098806	bird dog
n03560430	igloo, iglu
n03034663	circular saw, buzz saw
n10145480	great granddaughter
n03223299	doormat, welcome mat
n03727605	masterpiece, chef-d'oeuvre
n03943115	pinion
n04574067	wet suit
n04471148	transept
n04004767	printer
n03207835	dishtowel, dish towel, tea towel
n04532106	vestment
n08614632	fairground
