n04403638	望遠鏡
n12606438	ツユクサ
n07867421	フォンデュー
n03857828	陰極線オシロスコープ
n07920222	カフェ・ラッテ
n03443371	ゴブレット
n12703557	カタバミ
n03788498	モーテル
n07574780	コンチネンタルブレックファースト
n02846511	黒板
n07691539	ブリオッシュ
n02052204	モモイロペリカン
n03150232	ローラー
n15067877	催涙ガス
n04064401	電気蓄音機
n07891433	酒
n12793015	雪の下
n07927512	炭酸飲料
n04594489	配線
n02731398	アプス
n01560793	野鶲
n01593028	ヤブガラ
n04610013	レーシングヨット
n02454379	鎧鼠
n07920872	モカ
n03845190	給油艦
n03885904	パンティストッキング
n10275395	忠臣
n04156946	スカル
n07579575	メーンコース
n12645174	扁桃
n04399158	茶壺
n03836062	赤ちゃん部屋
n12566954	葛
n07734744	茸
n09989502	踊手
n04592465	ワイナリー
n11926833	アルニカ
n02758960	オートクレーブ
n02655848	針千本
n03627232	縛目
n11636204	杉
n08517676	バス停
n07842308	スクランブルドエッグズ
n02064816	シロナガスクジラ
n04571566	堰
n01882714	コアラ
n02329401	齧歯動物
n09210862	環礁
n12724942	楊柳
n03623556	庖丁
n03646296	旋盤
n12733647	アスペン
n07765361	グアバ
n02980441	館城
n03238879	ドレスシャツ
n07684600	クイックブレッド
n03409591	切妻造
n03963198	皿
n02791270	理髪店
n02501583	眼鏡猿
n03527444	ホルスター
n03467068	ギロチン
n04571958	溶接部
n04296562	高座
n02010272	アマサギ
n07767847	西洋梨
n06271778	テレコム
n02431785	ワピチ
n02788148	高欄
n09633969	違反者
n03016389	鶏舎
n03367410	花屋
n02672831	手風琴
n02861387	身頃
n04590933	ウィンザーチェア
n02880940	鉢
n09836160	闘牛士
n04392113	巻尺
n01324610	草食動物
n01323493	母
n03072201	カラーテレビ
n03261019	耳朶
n01564217	ルビーキクイタダキ
n07734017	赤茄子
n13132656	円錐花序
n04289027	スプリンクラー
n01850553	キタホオジロガモ
n07841907	イースターエッグ
n03706653	磁気ディスク
n02969323	車道
n13223710	マンネンスギ
n04173046	浄化槽
n04603729	作業台
n04553703	洗面器
n04606251	残骸
n11789066	ミズバショウ
n03782190	モニター
n03445777	ゴルフボール
n03352628	魚網
n02801938	籠
n03871628	小荷物
n13022709	菌糸体
n04322801	ストックカー
n03546235	屋根
n02508021	アライグマ
n09627906	引取手
n03340723	ファインダー
n02842573	複葉機
n12922763	クロトン
n01573360	ニシマキバドリ
n03233905	抽斗
n02484473	旧世界猿
n02586543	落
n11725015	アネモネ
n12329260	百日紅
n04069276	反射体
n03760310	マイクロプロセッサー
n03987266	ポートレートカメラ
n02764779	軸
n04315948	ステレオ
n04548280	柱時計
n12158443	ペポカボチャ
n10380672	雄弁家
n07684517	ブドウパン
n07595914	粉砂糖
n04482177	三角帽子
n01439514	コイ
n01321579	子
n03098688	司令室
n10674713	関取
n10734394	双生子
n12658118	七竈
n02382338	耕馬
n02085620	チワワ
n07691650	クロワッサン
n12278650	コルク樫
n01575401	ハゴロモガラス
n03721384	木琴
n12710693	オレンジ
n11915899	ハハコグサ
n03386011	防塞
n12830222	アキメネス
n04081699	レストハウス
n02619165	ハゼ
n04254777	ソックス
n10602985	姉妹
n05586759	外骨格
n03849679	透編み
n06272803	通話
n03063599	コーヒーマグ
n02739668	鎧
n11665372	顕花植物
n03239726	鑽孔機
n04313628	中心柱
n02210427	ヒメハナバチ属のハチ
n02279257	クジャクチョウ
n12190410	神樹
n07873807	ピッツア
n01681940	角蜥蜴
n04525038	本天
n13897996	釣合い
n02027357	アメリカヒバリシギ
n01900150	髪の毛
n02092468	テリア
n01527347	スズメ
n03510244	ヒートシンク
n04026417	銭入れ
n04453910	蓋
n07655263	ソテー
n02387346	シャイヤー
n02802426	バスケットボール
n02968074	カーポート
n09889941	キャンパー
n01874434	有袋類
n02692232	飛行場
n10049363	電気工
n02110627	アーフェンピンシャー
n03484931	虫眼鏡
n04262161	共鳴板
n01557185	ツグミ
n03497657	被笠
n07601809	キャラメル
n07625061	サモサ
n03063073	コーヒーカップ
n03438661	ガラス製
n07572957	缶詰
n02730930	前掛け
n12455950	グロリオーサ
n04100519	ロデオ
n07586894	ミネストローネ
n04257790	太陽電池
n04000592	記者席
n04121511	軍刀
n03274265	電動歯ブラシ
n02760429	機関銃
n03617480	着物
n01544389	キンカチョウ
n04172776	哨舎
n01536186	ヒワ
n03614782	鍵穴
n11759404	合歓の木
n10353016	新生児
n12334293	ゴムの木
n02950256	大筒
n11862835	トリトマ
n12462805	ツルボ
n13221529	日陰の葛
n04266375	スペーススーツ
n03906997	筆
n02176261	弾糸
n01620735	トキイロコンドル
n07804323	飯米
n02824058	ビアマグ
n11712282	百合木
n03469175	砲塔
n07749582	檸檬
n04027023	押ボタン
n03019685	顎当
n03927539	写真版
n09877951	親友
n04165409	局部
n03826186	蒲鉾小屋
n10368528	ニンフ
n04046590	レール
n02488702	コロブス
n02881757	山高帽子
n02055803	ペンギン
n10317500	MP
n04033901	羽
n02100399	セッター
n12352287	バナナの木
n02426813	エランド
n04492749	トラス橋
n03050546	衣装箪笥
n09215437	盆地
n13077295	黴
n07578093	馳走
n03775071	ミトン
n03033986	サーキットボード
n07599998	チューインガム
n12441183	アスパラガス
n11686912	胞子体
n12908645	ニーレンベルギア
n07820497	セージ
n02032480	ヨーロッパジシギ
n01813088	モリバト
n07886057	homebrew
n03673027	定期船
n02800213	ミット
n03498662	ハッチバック
n03089879	議場
n11808468	カーネーション
n02786058	絆創膏
n08598301	草原
n12676703	突抜忍冬
n12890265	一薬草
n12992868	菌類
n03891332	パーキングメーター
n02676938	アクロポリス
n02077152	オットセイ
n03128248	クレヨン
n02332755	野鼠
n02564720	ブラックバス
n04313503	ハンドル
n03291819	状袋
n07612367	ホイップ
n01622483	アメリカワシミミズク
n02188699	双翅類
n12717072	ニワウルシ
n02108089	ボクサー
n01540832	シメ
n02137015	ジェネット
n04588739	窓
n09193705	高山
n02152881	餌食
n09918248	愛児
n07711569	マッシュポテト
n03661340	蓋
n01769347	クモ綱
n07730406	セロリ
n09607630	被任命者
n11838916	ブーゲンビリア
n03880531	鍋
n02096756	シュナウツァー
n03455488	墓碣
n02088094	アフガンハウンド
n04589593	窓枠
n02870676	笈
n04074963	遠隔操作
n04393095	テープレコーダー
n04033425	女王
n04019101	公共交通機関
n02376679	雌の子馬
n04404997	ビデオカメラ
n02049088	アビ
n12480895	サンセベリア
n11969166	ヒヨドリバナ
n03815482	半衿
n03790755	モーターホテル
n02169974	コロラド葉虫
n02000954	渉禽
n03196217	デジタルクッロック
n13139055	莢
n02731629	スキューバ
n07814487	丁香
n02783324	踊り場
n12726670	枝垂柳
n07725376	エンドウマメ
n10187990	ホテル経営者
n02739889	装甲車
n01619835	コンドル
n01592387	エボシガラ
n02773037	鞄
n03873416	櫂
n07713074	茄子
n03517647	隠所
n07753743	パッションフルーツ
n03173387	デリカテッセン
n12587803	椰子
n04161981	腰掛け
n02892201	霊位
n07697537	ホットドッグ
n02153203	猟鳥
n05578095	踵
n02935891	食堂
n01699040	ケーマン諸島
n04324387	貯蔵室
n02016066	コモンクイナ
n12282737	白樺
n12950314	ヨウシュカノコソウ
n04340750	金庫
n03709206	拡大鏡
n04067658	リール
n03532342	鉤
n12294871	ゲンチアナ
n03790230	モーターボート
n03287733	発動機
n02871147	栞
n02027492	ハマシギ
n02209624	円花蜂
n07843636	目玉焼き
n04207903	ショルダーパッド
n07584110	コンソメ
n02080415	象海豹
n03915437	打物
n03617312	キルト
n02424085	ボンゴ
n03530910	ボンネット
n01772222	蜘蛛
n03621049	調理道具
n04543158	馬車
n03132776	クリノリン
n09840217	財界人
n01828556	笑い翡翠
n03132076	バット
n07892512	赤ワイン
n07752377	乾果
n12833149	アフリカスミレ
n12036939	竜胆
n03529629	入植
n02327028	野兎
n03332393	野砲
n02938886	電卓
n11888800	ハナダイコン
n04024983	パント
n03326948	サインペン
n03981566	ポンツーン
n03539678	乗馬道
n03476083	入れ毛
n07609215	氷砂糖
n02931836	丸太
n11773987	夾竹桃
n13148208	ツタ
n03146449	袋小路
n04340935	要塞
n04395024	防水帆布
n01500091	オニイトマキエイ
n03075768	おしゃぶり
n01792158	雄鶏
n11970586	テンニンギク
n02324045	家兎
n04584207	かつら
n04335435	電車
n10104064	親分
n07842202	落とし卵
n11487732	幻日
n03725035	覆面
n03643253	レーザー
n01562014	青い鳥
n04217546	信号塔
n04505036	印字機
n02099997	ポインター
n04046277	ラグラン
n03992703	陶物
n10226413	手品師
n12345899	マングローブ
n12822115	忘れな草
n07822197	トマトケチャップ
n02643112	カサゴ
n10595164	兄弟
n12545635	ミヤコグサ
n03690938	ローション剤
n07710952	ベークドポテト
n04246271	スモッキング
n04008634	飛道具
n03892557	牧師館
n02732572	アラベスク
n03484083	手車
n06255081	媒体
n02839592	ビリヤードルーム
n02818832	臥榻
n07583066	ワカモレ
n02423589	スブリングボック
n01573898	ボボリンク
n07612632	プリン
n03142679	風防
n04582349	柳かご
n02808440	風呂桶
n09260907	耕地
n07697825	爆撃機
n01748906	キングコブラ
n02122948	小猫
n02934451	ケーブルカー
n15102455	ハードボード
n07879953	天ぷら
n11774513	プルメリヤ
n07685730	ライ麦パン
n07763629	キーウィ
n01611969	チョウゲンボウ
n10332385	母親
n02373336	ウマ目
n03294048	道具
n02952109	傘体
n14820180	コンクリ
n02793495	畜舎
n03958227	ビニール袋
n01666228	落
n07747055	蜜柑
n02944579	カーモ
n03466600	フリゲート
n02883205	ボータイ
n13022210	エノキタケ
n01730960	黒蛇
n01713764	ティラノサウルス・レックス
n07684289	ナン
n02708433	アナログウォッチ
n01397114	藻類
n01317813	肥育用家畜
n01982068	兜蟹
n03577090	集積回路
n10559996	学頭
n03736970	機械装置
n02683791	アフターシェーブローション
n03214253	濠
n03870290	心臓ペースメーカー
n10406266	族長
n03918480	マイコン
n02072798	白海豚
n03100240	コンヴァーティブル
n02763306	二次記憶装置
n08539072	繁華街
n02741475	肘掛け
n02482650	ボノボ
n09841696	走者
n03802393	モスリン
n03355925	旗竿
n04309049	蒸気機関
n01629962	ファイアーサラマンダー
n10387324	右腕投手
n03373237	蚊針
n02787435	安ピカ物
n03619890	調理場
n02169497	羽虫
n04234455	鎧板
n07900825	ポートワイン
n12004547	ステビア
n04453037	歯牙
n07757132	桜桃
n01319467	海獣
n07583197	煮汁
n04045644	垂木
n02431337	鹿
n03560430	イグルー
n03223299	ドアマット
n03727605	雄編
n04574067	ウエットスーツ
n04471148	外陣
n04004767	プリンター
n03848348	オープナー
n11757851	キャシー
n02103841	番犬
n02786198	バンダナ
n03169176	仰け衣紋
n01704323	トリケラトプス
n10054657	雇用主
n12269241	ライブオーク
n03253796	ダッフル
n01806297	ピーヘン
n11448153	砂嵐
n07928367	ジンジャーエール
n03995265	電源コード
n02686379	空調設備
n07620689	マラスキノチェリー
n12969131	ホコリタケ
n02933462	ロッカー
n03504723	本部
n01848123	小鴨
n01857851	カオジロガン
n09650729	ビロクシー
n01558307	ノハラツグミ
n11995092	カミツレ
n02069701	ハンドウイルカ
n03091044	コンロッド
n12695144	マホガニー
n02710044	ドッグ
n02988156	CDドライブ
n07565161	食い物
n12098403	黒鉛
n07585758	ガスパチョ
n04198797	緩衝器
n02102318	コッカースパニエル
n07736813	里芋
n04322026	銃床
n04608435	ライティングデスク
n12316572	ストロフルス
n11892637	ニオイアラセイトウ
n09763784	顔見知り
n04317976	操縦桿
n07698543	ルーベン
n02281015	モンシロチョウ
n09454412	縺れ
n03336575	フィラメント
n03199647	キチン
n04414675	テスラコイル
n03531281	ボンネット
n03283221	緊急救命室
n04252225	除雪車
n03759954	マイクロホン
n04545305	歩行器
n15090065	レチノール
n07610620	ベイクドアラスカ
n12801520	ウメバチソウ
n01945685	ナメクジ
n01698434	アリゲーター
n03301568	ユーフォニアム
n04533802	ビデオテープレコーダ
n03291741	上包み
n09718936	韓国人
n04065789	リサイクル用の箱
n01915700	ウミエラ
n12144580	蜀黍
n10195593	食わせ物
n04356925	サンルーム
n02975212	陳列棚
n04028315	謎謎
n01592694	アオガラ
n04586581	藤本
n03105467	脱腸帯
n07763987	マンゴスチン
n04297098	駅馬車
n03427296	門
n03781787	モニター
n10259780	中佐
n09873899	育雛器
n03676623	リキュールグラス
n10060352	業主
n15019030	砂子
n03186818	ダイヤル
n04525191	別珍
n01887896	小牛
n03099274	コンビニエンスストア
n13043926	ホコリタケ
n03239054	燕尾服
n03718789	腰折れ屋根
n09289331	氷河
n06596364	漫画雑誌
n04605163	梳毛織物
n04402057	電話線
n01795545	クロライチョウ
n09189157	面積
n02950632	火砲
n03598930	ジグゾーパズル
n07682316	全粒粉ブレッド
n04070727	冷蔵庫
n03048883	閉回路
n01518878	鴕鳥
n04405907	受像機
n02981024	カタコンベ
n04518132	魔法瓶
n02882647	ピン
n07617708	プラムプディング
n07623136	ペストリー
n03691817	待合室
n03211117	ディスプレイ
n12190869	ドリアン
n01594372	燕
n02823335	ビヤ樽
n12001707	シネラリア
n03316105	電話ファクシミリ
n11953610	チコリー
n07722052	トウガラシ
n03359436	フラッシュメモリー
n11814584	シャボンソウ
n04557648	水筒
n04080138	共鳴器
n02094433	ヨークシャーテリア
n03047052	時計台
n03020692	鑿
n04338517	弦楽器
n03822656	ニューススタンド
n02052775	グンカンドリ
n12604228	酸模
n03718212	軍艦
n04325704	袈裟
n04122578	サボ
n10791221	単純労働者
n03187268	パネル
n09403734	連峰
n02192513	ニクバエ
n03688943	見晴らし台
n07906572	ブレンドウイスキー
n04246855	喫煙車
n03188531	襁褓
n03449309	丸のみ
n02023992	フタオビチドリ
n03886053	装甲
n07871436	ミートボール
n03547054	野小屋
n02359324	プレーリードッグ
n01792640	雌鶏
n07714802	レッドキャベツ
n02950943	砲弾
n02822220	ベッドカバー
n09722658	メキシコ人
n02538216	カワマス
n02851939	目隠し
n03345487	消防車
n04496872	タンプラー
n07713895	甘藍
n03173929	配達用トラック
n07922764	ホットチョコレート
n04004475	印刷機
n02644113	メバル
n07584332	ビスク
n02885108	蓋車
n07715561	スカッシュ
n02366959	ヌートリア
n12306717	ジャスミン
n01881171	指結び
n07908411	アブサン
n02548247	鮟鱇
n03544238	短針
n13183056	コタニワタリ
n02099029	自動引下器
n02970408	トートバッグ
n10607478	スキンヘッド
n03915900	目打ち
n13134947	果実
n01859190	コブハクチョウ
n02761557	自動車エンジン
n03696065	トランク
n07916041	マーティーニ
n03207743	布巾
n02785648	繃帯
n01887474	畜類
n01682435	バシリスク
n01456756	シーホース
n07749446	キンカン
n12305986	七竈
n12791329	バイカウツギ
n04513827	内装
n12476510	竜舌蘭
n07581346	前菜
n01568294	羽衣虫喰
n02365480	カピバラ
n01775062	コモリグモ
n03521544	胴付長靴
n03841666	執務室
n02814533	ステーションワゴン
n07575726	食饌
n02082791	土豚
n04068441	精錬所
n03612010	ケッチ
n01326291	微生物
n02839351	ビリヤードボール
n03898633	パッチワーク
n02122725	雄猫
n03469903	南京袋
n10627252	知己
n04594828	喰いきり
n04506289	ウクレレ
n04465666	ヘッド
n02108551	チベタンマスチフ
n03904183	横断歩道
n03982430	ビリヤードテーブル
n12790430	ウツギ
n02125311	プーマ
n06266633	フリート街
n02375302	ローン
n01537544	ルリノジコ
n01747885	コブラ
n10763383	給仕
n10376523	高齢者
n03095699	コンテナ船
n03877472	パジャマ
n10143172	祖父母
n03587205	用水堀
n02677718	運動伝達装置
n04469003	軌道
n10320863	閣僚
n12189987	バオバブ
n01857079	ハクガン
n11876634	カリフラワー
n03884926	パンテオン
n02367492	チンチラ
n01602832	アカメモズモドキ
n04204347	ショッピングカート
n07612137	パブロヴァ
n01693783	カメレオン
n03791235	自動車
n02841315	双眼鏡
n02922292	墳丘
n02123597	シャム猫
n09362945	黒泥土
n12782530	毛氈苔
n02416104	バーバリーシープ
n03924679	謄写器
n04153025	網戸
n03792048	マウンド
n03113152	化粧品
n11866248	クレオメ
n01614343	イヌワシ
n11901977	オリエンタルポピー
n01852142	アメリカオシ
n03647520	ロケット発射筒
n07590320	グヤーシュ
n04350458	スエードクロス
n01477525	ヤツメウナギ
n07716358	ズッキーニ
n01580077	樫鳥
n10116702	未来派
n02649546	コチ
n11545714	羊歯
n03506370	フィットネスクラブ
n03073977	円柱
n01814217	ナゲキバト
n04459610	手拭い地
n03101517	クッキーカッター
n02504013	インドゾウ
n03574816	計器
n03116530	カウンター
n07705931	果物
n10672371	スーフィ
n12622875	キンミズヒキ
n03536122	水平尾翼
n02307325	テンマクケムシ
n12620546	ローズヒップ
n03179701	玉案
n04422727	魔法瓶
n11544015	ゼニゴケ
n02316707	棘皮動物
n03680355	ローファー
n09505153	精神的指導者
n02081571	海象
n02087046	トイテリア
n15075141	塵紙
n01841679	アリスイ
n09934774	男髪結
n02813645	バザール
n07869775	シシカバブ
n02377703	乗馬
n01591123	ムネアカゴジュウカラ
n02382437	小馬
n02933112	飾棚
n10208950	総監
n10682953	思われ人
n07619004	カスタード
n06277135	ラディオ
n02113335	プードル
n10085869	婚約者
n02667379	大修道院
n12719944	金蓮花
n13136556	木ノ実
n03967562	鋤
n11901759	アイスランドポピー
n03062122	カクテルラウンジ
n02086753	キングチャールズスパニエル
n03903868	柱礎
n10465451	早産児
n03795976	映写機
n14976759	桟瓦
n07751148	ネクタリン
n02843158	小鳥用水盤
n03595860	ジェット機
n07907429	ライ・ウイスキー
n04409806	テニスラケット
n02906734	箒
n01848648	ヒドリガモ
n01847806	マガモ
n11644046	米杉
n04402449	電柱
n02097047	ミニチュア・シュナウザー
n13135832	種子
n04372370	開閉器
n12252168	岩団扇
n03372549	笛
n07687381	バゲット
n02681392	アドービ
n01604330	猛禽
n12293723	龍胆
n07830593	ホットソース
n07819769	金蓮花
n07560903	常食
n03785016	モーペッド
n07903643	カルバドス
n02870880	本箱
n03324928	作業着
n04528968	ノギス
n07880080	照り焼き
n03626760	ラッパー
n07879174	鋤焼き
n12574866	玄武岩
n03454707	格子
n11916696	鋸草
n03320421	ファン
n04222210	シングルベッド
n07923748	液汁
n02312427	蛹虫
n01791625	成鶏
n12171316	銭葵
n10296176	元帥
n09843443	グラウンドボーイ
n12400720	波羅蜜
n03770954	ミンクのコート
n03441112	手袋
n09191635	気泡
n07893528	スパークリングワイン
n04123740	鞍
n03444034	ゴーカート
n03631922	ラッカーウェア
n10082043	舅
n09622302	愛人
n04565375	銃剣
n04417809	芝居小屋
n14698884	細石
n01792042	雛
n01548492	ニシタイランチョウ
n09873348	あばれん坊
n02075927	アシカ亜目
n12260799	橅
n04610676	帆桁
n12056217	アツモリソウ
n01809106	ギニー
n03206718	変装
n01339083	口唇ヘルペス
n02108672	ブルドッグ
n02132136	ヒグマ
n07841800	イースターエッグ
n02018368	オオバン
n04225031	半身浴
n12710295	ウンシュウミカン
n10303814	町長
n02499316	キンカジュー
n10142747	祖母様
n01806567	ウズラ
n09770179	輔佐
n07834507	マヨネーズ
n10422405	スタンプコレクター
n01850192	ヒメハジロ
n03529175	主教室
n02802215	バスケットゴール
n02578771	鰤
n02395406	飼い豚
n03861271	アウトリガー
n03795758	ムーブメント
n01619536	兀鷹
n12291959	ブルーベル
n03662719	浮き袋
n02396427	イノシシ
n03797390	マッグ
n01985128	ザリガニ
n12727101	猫柳
n02208280	蜜蜂
n07774842	松の実
n13154494	葉
n02077923	葦鹿
n01438581	ドジョウ
n01623706	コノハズク
n01856155	ガンダー
n12822955	フジバカマ
n07772788	ヘーゼルナッツ
n07726796	インゲンマメ
n10467395	大統領
n03158186	ダーチャ
n02226429	飛蝗
n07743544	ブルーベリー
n03349771	一塁
n02734725	結構
n02504458	アフリカ象
n03887697	ペーパータオル
n01857632	カナダ雁
n12607456	パイナップル
n04593866	ワイパ
n01504179	雛鳥
n09683757	仏教徒
n03114379	ティーコゼー
n02134084	ホッキョクグマ
n11715430	ウォーターニンフ
n02797692	基礎
n01605630	鷹
n07824702	パプリカ
n04559451	蛇口
n02788021	旗
n03884778	パンテオン
n02078574	アシカ
n04597913	杓文字
n12244153	ロードデンドロン
n04228054	スキーの板
n07823698	クランベリーソース
n10578471	上院議員
n04263502	スープスプーン
n02676566	アコースティックギター
n04459362	西洋手拭い
n03614007	鍵盤
n02932693	キャビンクラス
n02754656	アトリウム
n04037220	兎小屋
n01609062	ツバメトビ
n02815834	ビーカー
n10613996	麗人
n07560652	食物
n03498781	ハッチバック
n03447447	ゴンドラ
n03320959	欄間
n07925966	エード
n03160740	ダマスク
n12102133	イネ科の草
n04590021	ウィンドーシート
n10091564	けんか売り
n02016816	バン
n08571898	蚤の市
n03993180	手提
n03568117	計器
n04238617	幻燈
n01560419	目黒
n07719213	アスパラガス
n04461879	玩具
n04496614	チュール
n02233338	油虫
n04355267	サンデッキ
n03724870	面形
n04080833	吸入器
n01960459	カキ
n04380346	テーブルナイフ
n03506727	補聴器
n12387839	菫
n03309808	裂地
n12570394	槐
n03359137	懐中電燈
n12093329	シクラメン
n07847198	乳脂
n04584373	ウィグワム
n01323599	純種
n04205318	短パン
n03620967	台所用テーブル
n07680932	ロール
n03250847	撥
n02331046	鼠
n07905979	テキーラ
n02799071	野球ボール
n04546340	ウォークマン
n09199101	蟻塚
n02177972	ゾウムシ
n07651025	ピューレ
n09915434	クフ
n09941964	部隊長
n02995345	CPU
n07871810	ミートローフ
n10508710	読書家
n10665698	生徒
n03733281	迷路
n12095020	トラノオ
n12427566	オニユリ
n03475823	髪油
n03480719	端綱
n04133789	サンダル
n12485653	ブッドレア
n11972759	ハハコグサ
n03200701	食堂
n10753442	里人
n02667478	修道院
n07928887	ルートビール
n02527271	ウツボ
n03026907	クロノグラフ
n02008041	アオサギ
n02073250	海牛
n09453008	高地
n03814906	首飾り
n03325941	中折帽子
n01872401	ハリモグラ
n12300840	オリーブの木
n07712382	スナック菓子
n01796340	雷鳥
n03176386	部分義歯
n03657511	レオタード
n07769584	マルメロ
n07712559	ポテトチップ
n04590553	風防ガラス
n07588947	鍋物
n01841288	シルスイキツツキ
n01606522	オオタカ
n02409508	アフリカ水牛
n04447276	撒布剤
n02732072	海洋博物館
n11599324	ウェルウィッチア
n13100677	蔦蔓
n10267311	弟
n10055410	妖婦
n10261624	ライトヘビー級
n07901457	マスカット
n11704093	ゲッケイジュ
n02427724	ウォーターバック
n13108841	針葉樹
n04191943	小屋
n04212165	シャトルバス
n03220237	ドルメン
n03663531	ライフジャケット
n09620794	土民
n02977330	カシミヤ
n07736692	菠薐草
n02963159	ジレー
n10465831	長老
n03727837	マット
n01947396	ばい貝
n02835915	サドル
n03528901	本塁
n12732491	セイヨウハコヤナギ
n07608429	ヌガー
n07817871	フェンネル
n12709103	晩白柚
n04579986	白
n04536866	提琴
n07687626	イタリアパン
n03772584	長針
n10243137	貴婦人
n01884834	タスマニアデビル
n11968704	ヒヨドリバナ
n12974987	粘菌
n02821627	閨房
n04381994	食器
n03483230	ハンドベル
n09381242	露頭
n10093818	魚屋
n03735637	物指し
n04168840	地震計
n02780815	ドクウツギ
n01879509	キノボリカンガルー
n01909906	ポリープ
n09720256	ラテンアメリカ人
n04241249	突っ掛け
n02710324	無響室
n07694659	ショートケーキ
n10522035	代表者
n04376876	注射器
n07883031	詰め物
n10178216	ストライカー
n01587526	ネコマネドリ
n04171629	半自動
n09789566	切断患者
n03452449	穀倉
n07731284	チコリー
n01829869	ヤツガシラ
n04225987	スケートボード
n12858871	タイマツバナ
n07588193	ワンタン
n06272290	電話通信
n03429288	ゲージ
n01531512	マヒワ
n04239436	三角巾
n02667576	大修道院
n04008385	組み立てライン
n09409752	稜線
n02083346	イヌ科動物
n09416076	磐
n03122295	幌馬車
n02803349	低音
n02790823	荊棘線
n04269944	箆
n03202354	ディナーテーブル
n04304680	スターティングゲート
n01851731	コスズガモ
n04508163	下着
n02276749	イチモンジチョウ
n03751757	金属探知機
n03548533	廃船
n10748620	ＶＩＰ
n03256928	地下牢
n03147509	コップ
n02563792	ブルーギル
n02703275	弾薬
n04093625	リンク
n07928790	ペプシコーラ
n04310018	蒸気機関車
n03236423	浚渫船
n03801533	ミュージックホール
n12301180	オリーブ
n07733394	ガンボ
n03040376	クリーンルーム
n03457902	温室
n07591049	アイリッシュシチュー
n01818832	ケア島
n07614730	アイスクリームコーン
n02728440	装束
n02006364	アフリカクロトキ
n09689435	アフガン
n07573347	スパム
n03656484	レンズ
n03488188	引き切り
n01819734	阿亀鸚哥
n02406174	乳用種
n02423022	ガゼル
n12927013	キャッサバ
n02666943	畜殺場
n04202417	販売店
n07906284	ウイスキー
n04137444	軌道船
n02115641	ディンゴ
n01536035	チャガシラヒメドリ
n01559804	モリツグミ
n02034661	ピロティ
n03086580	音楽堂
n01641391	ヒョウガエル
n10487182	トリマー
n11727091	苧環
n03696568	耳金
n03670208	リムジーン
n02430045	鹿
n07575984	軽い夕食
n03067339	バニシングクリーム
n07600285	風船ガム
n11756092	アカシア
n02898585	ウエディングドレス
n02302620	カイコ
n10618342	サッカー選手
n03502200	枕元
n04247736	スナック
n01972541	コウイカ
n02419796	羚羊
n03496892	刈り取り機
n02058594	ワタリアホウドリ
n07806221	サラダ菜
n12749679	錦木
n03794798	マウスピース
n03326795	フェルト
n04349401	サブウーファー
n02944459	カモフラージュ
n03728437	磨出し
n09923673	本国人
n03180969	検知器
n12610328	ホテイアオイ
n07687469	フランスパン
n04264914	宇宙船
n12867826	タツナミソウ
n07895435	クラレット
n11753355	アカツメクサ
n02200198	蚊
n03088580	コンドミニアム
n02090622	ボルゾイ
n04184880	シャークスキン
n03541269	病院船
n09270735	砂丘
n02310585	青虫
n08583292	ヘムライン
n12712626	錦木
n02071294	鯱
n09861946	船頭
n03209910	フロッピーディスク
n12889713	トーチ
n02047045	海鳩
n02107683	バーニーズ・マウンテン・ドッグ
n02726681	アパートメントハウス
n11621950	バルサムモミ
n09303008	高岡
n04556533	ウオッチケース
n09972010	従弟
n07607967	トローチ
n02762508	アウトストラーダ
n07750449	シトロン
n04039381	ラケット
n04453666	ブラウス
n07605040	綿菓子
n01741943	ボア
n02686568	飛行機
n03843438	油単
n04562935	給水塔
n07903731	アルマニャック
n12997654	担子菌
n03475581	ヘアブラシ
n09792555	高祖
n08640531	リゾートホテル
n03494706	馬具
n02387093	ペルシュロン種
n03123809	牛舎
n10804287	青年
n02056570	キングペンギン
n03249342	薬鋪
n03332005	ファイバースコープ
n02161457	花粉媒介者
n07906877	コーンウイスキー
n03390983	フレーム
n03745571	立石
n02377388	騸馬
n04613939	ザンボーニ
n03888257	落下傘
n12115180	パンパスグラス
n04402984	電話線
n02272871	ハサミムシ
n02494079	リスザル
n02607072	クマノミ
n03773504	ミサイル
n03937835	印篭
n02809241	バチスト
n12711984	菩提樹
n07615460	ストロベリーアイス
n03200357	食堂車
n03822171	新聞紙
n02407276	ギャロウェー
n07643306	ゼリー
n02603317	カマス
n13103877	枯れ立木
n04147183	スクーナー
n03643737	レーザープリンター
n02813399	張出窓
n01538630	ユキホオジロ
n10241300	肉体労働者
n01608814	鳶
n02918112	闘牛場
n07616386	パフェ
n02760199	自動販売機
n12515711	ヒヨコマメ
n12801781	ウメバチソウ
n04378956	足袋
n09779790	耕作者
n09974648	職工
n12037691	風鈴草
n04399537	ティー
n04011827	推進機
n03424325	ガスマスク
n04383839	タフタ
n01621635	梟
n03078287	通信システム
n04265904	宇宙ロケット
n02578928	ブリ
n11552386	種子植物
n12179122	フヨウ
n04277493	マンドレル
n03149686	縁石
n04052442	牧場
n03928814	鍵盤楽器
n01614925	白頭鷲
n04236377	袖
n07685399	アイリッシュソーダパン
n04069434	二眼レフカメラ
n07929172	トニックウオーター
n02118333	稲荷
n03989898	駅家
n12050533	カトレア
n01539573	黄雀
n02364673	モルモット
n13003522	頬紅
n01849863	アカオタテガモ
n12345280	ザクロ
n02410509	バイソン
