n04403638	telescope
n02027357	least sandpiper
n01900150	hair
n02092468	terrier
n01527347	hedge sparrow
n03510244	heat sink
n04026417	purse
n04453910	top
n07655263	saute
n02387346	shire
n02802426	basketball
n02968074	carport
n09889941	camper
n01874434	marsupial
n02692232	airport
n10049363	electrician
n02110627	affenpinscher
n03484931	hand glass
n04262161	sounding board
n01557185	thrush
n03497657	hat
n07601809	caramel
n07625061	samosa
n03063073	coffee cup
n03438661	glass
n07572957	canned food
n02730930	apron
n12455950	gloriosa
n04100519	rodeo
n07586894	petite marmite
n04257790	solar array
n04000592	press box
n04121511	saber
n03274265	electric toothbrush
n02760429	automatic firearm
n03617480	kimono
n01544389	zebra finch
n04172776	sentry box
n01536186	field sparrow
n03614782	keyhole
n11759404	silk tree
n10353016	neonate
n12334293	gum tree
n02950256	cannon
n11862835	flame flower
n12462805	squill
n13221529	club moss
n04266375	spacesuit
n03906997	pen
n02176261	elaterid beetle
n01620735	king vulture
n07804323	rice
n02824058	beer mug
n11712282	tulip tree
n03469175	gun enclosure
n07749582	lemon
n04027023	push button
n03019685	chin rest
n03927539	photostat
n09877951	buddy
n04165409	sectional
n03826186	Nissen hut
n10368528	nymph
n04046590	rail
n02488702	colobus
n02881757	bowler hat
n02055803	penguin
n10317500	military policeman
n04033901	quill
n02100399	setter
n12352287	banana
n02426813	eland
n04492749	truss bridge
n03050546	clothes closet
n09215437	basin
n13077295	mildew
n07578093	banquet
n03775071	mitten
n03033986	circuit board
n07599998	chewing gum
n12441183	asparagus
n11686912	sporophyte
n12908645	cupflower
n07820497	sage
n02032480	great snipe
n01813088	wood pigeon
n07886057	home brew
n03673027	liner
n02800213	baseball glove
n03498662	hatchback
n03089879	conference room
n11808468	carnation
n02786058	Band Aid
n08598301	grassland
n12676703	trumpet honeysuckle
n12890265	veronica
n12992868	fungus
n03891332	parking meter
n02676938	acropolis
n02077152	fur seal
n03128248	crayon
n02332755	field mouse
n02564720	black bass
n04313503	steering wheel
n03291819	envelope
n07612367	whip
n01622483	great horned owl
n02188699	dipterous insect
n12717072	ailanthus
n02108089	boxer
n01540832	hawfinch
n02137015	genet
n04588739	window
n09193705	alp
n02152881	prey
n09918248	child
n07711569	mashed potato
n03661340	lid
n01769347	arachnid
n07730406	celery
n09607630	appointee
n11838916	bougainvillea
n03880531	pan
n02096756	schnauzer
n03455488	gravestone
n02088094	Afghan hound
n04589593	window frame
n02870676	book bag
n04074963	remote control
n04393095	tape recorder
n04033425	queen
n04019101	public transport
n02376679	filly
n04404997	television camera
n02049088	loon
n12480895	sansevieria
n11969166	Joe-Pye weed
n03815482	neckpiece
n03790755	motor hotel
n02169974	Colorado potato beetle
n02000954	wading bird
n03196217	digital clock
n13139055	pod
n02731629	aqualung
n07814487	clove
n02783324	ballroom
n12726670	weeping willow
n07725376	pea
n10187990	hotelier
n02739889	armored car
n01619835	Andean condor
n01592387	tufted titmouse
n02773037	bag
n03873416	paddle
n07713074	eggplant
n03517647	hideaway
n07753743	passion fruit
n03173387	delicatessen
n12587803	coconut
n04161981	seat
n02892201	brass
n07697537	hotdog
n02153203	game bird
n05578095	heel
n02935891	cafeteria
n01699040	caiman
n04324387	stockroom
n02016066	spotted crake
n12282737	downy birch
n12950314	common valerian
n04340750	strongbox
n03709206	magnifier
n04067658	reel
n03532342	hook
n12294871	great yellow gentian
n03790230	motorboat
n03287733	engine
n02871147	bookmark
n02027492	red-backed sandpiper
n02209624	bumblebee
n07843636	fried egg
n04207903	shoulder pad
n07584110	consomme
n02080415	elephant seal
n03915437	percussion instrument
n03617312	kilt
n02424085	bongo
n03530910	hood
n01772222	spider
n03621049	kitchen utensil
n04543158	wagon
n03132776	crinoline
n09840217	baron
n01828556	kookaburra
n03132076	cricket bat
n07892512	red wine
n07752377	dried fruit
n12833149	African violet
n12036939	campanula
n03529629	homestead
n02327028	jackrabbit
n03332393	field artillery
n02938886	calculator
n11888800	damask violet
n04024983	punt
n03326948	felt-tip pen
n03981566	pontoon
n03539678	horse-trail
n03476083	hairpiece
n07609215	sugar candy
n02931836	caber
n11773987	oleander
n13148208	Boston ivy
n03146449	cul
n04340935	stronghold
n04395024	tarpaulin
n01500091	manta
n03075768	comforter
n01792158	cock
n11970586	gaillardia
n02324045	rabbit
n04584207	wig
n04335435	streetcar
n10104064	boss
n07842202	poached egg
n11487732	parhelion
n03725035	mask
n03643253	laser
n01562014	bluebird
n04217546	signal box
n04505036	typewriter
n02099997	pointer
n04046277	raglan
n03992703	pottery
n10226413	juggler
n12345899	mangrove
n12822115	forget-me-not
n07822197	catsup
n02643112	scorpionfish
n10595164	sibling
n12545635	bird's foot trefoil
n03690938	lotion
n07710952	baked potato
n04246271	smocking
n04008634	projectile
n03892557	parsonage
n02732572	arabesque
n03484083	handcart
n06255081	vehicle
n02839592	billiard room
n02818832	bed
n07583066	guacamole
n02423589	springbok
n01573898	bobolink
n07612632	pudding
n03142679	crystal
n04582349	wicker basket
n02808440	bathtub
n09260907	cultivated land
n07697825	bomber
n01748906	hamadryad
n02122948	kitten
n02934451	cable car
n15102455	chipboard
n07879953	tempura
n11774513	frangipani
n07685730	rye bread
n07763629	kiwi
n01611969	kestrel
n10332385	mother
n02373336	odd-toed ungulate
n03294048	equipment
n02952109	canopy
n14820180	concrete
n02793495	barn
n03958227	plastic bag
n01666228	common snapping turtle
n07747055	citrus
n02944579	camouflage
n03466600	guided missile frigate
n02883205	bow tie
n13022210	winter mushroom
n01730960	blacksnake
n01713764	tyrannosaur
n07684289	nan
n02708433	analog watch
n01397114	alga
n01317813	feeder
n01982068	European spider crab
n03577090	integrated circuit
n10559996	schoolmaster
n03736970	mechanical device
n02683791	after-shave
n03214253	ditch
n03870290	pacemaker
n10406266	patriarch
n03918480	personal computer
n02072798	white whale
n03100240	convertible
n02763306	auxiliary storage
n08539072	business district
n02741475	armrest
n02482650	pygmy chimpanzee
n09841696	base runner
n03802393	muslin
n03355925	flagpole
n04309049	steam engine
n01629962	spotted salamander
n10387324	right-handed pitcher
n03373237	fly
n02787435	bangle
n03619890	kitchen
n02169497	leaf beetle
n04234455	slat
n07900825	port
n12004547	stevia
n04453037	tooth
n07757132	cherry
n01319467	marine animal
n07583197	soup
n04045644	rafter
n02431337	hart
n03560430	igloo
n03223299	doormat
n03727605	masterpiece
n04574067	wet suit
n04471148	transept
n04004767	printer
n03848348	opener
n11757851	huisache
n02103841	watchdog
n02786198	bandanna
n03169176	decolletage
n01704323	triceratops
n10054657	employer
n12269241	live oak
n03253796	duffel
n01806297	peahen
n11448153	dust storm
n07928367	ginger ale
n03995265	power cord
n02686379	air conditioner
n07620689	maraschino
n12969131	earthball
n02933462	cabinet
n03504723	headquarters
n01848123	teal
n01857851	barnacle goose
n09650729	Biloxi
n01558307	fieldfare
n11995092	sweet false chamomile
n02069701	bottlenose dolphin
n03091044	connecting rod
n12695144	mahogany
n02710044	andiron
n02988156	CD drive
n07565161	chow
n12098403	plumbago
n07585758	gazpacho
n04198797	shock absorber
n02102318	cocker spaniel
n07736813	taro
n04322026	stock
n04608435	writing desk
n12316572	sweet gum
n11892637	stock
n09763784	acquaintance
n04317976	stick
n07698543	Reuben
n02281015	small white
n09454412	tangle
n03336575	filament
n03199647	diner
n04414675	Tesla coil
n03531281	hood
n03283221	emergency room
n04252225	snowplow
n03759954	microphone
n04545305	walker
n15090065	vitamin A1
n07610620	baked Alaska
n12801520	parnassia
n01945685	slug
n01698434	alligator
n03301568	euphonium
n04533802	videocassette recorder
n03291741	envelope
n09718936	Korean
n04065789	recycling bin
n01915700	sea pen
n12144580	corn
n10195593	hypocrite
n04356925	sun parlor
n02975212	case
n04028315	puzzle
n01592694	blue tit
n04586581	winder
n03105467	corbel
n07763987	mangosteen
n04297098	stagecoach
n03427296	gate
n03781787	monitor
n10259780	lieutenant colonel
n09873899	breeder
n03676623	liqueur glass
n10060352	entrepreneur
n15019030	sand
n03186818	dial
n04525191	velveteen
n01887896	calf
n03099274	convenience store
n13043926	puffball
n03239054	dress suit
n03718789	mansard
n09289331	glacier
n06596364	comic book
n04605163	worsted
n04402057	telephone line
n01795545	black grouse
n09189157	aerie
n02950632	cannon
n03598930	jigsaw puzzle
n07682316	dark bread
n04070727	refrigerator
n03048883	closed circuit
n01518878	ostrich
n04405907	television receiver
n02981024	catacomb
n04518132	vacuum flask
n02882647	bowling pin
n07617708	plum pudding
n07623136	pastry
n03691817	lounge
n03211117	display
n12190869	durian
n01594372	swallow
n02823335	beer barrel
n12001707	cineraria
n03316105	facsimile
n11953610	chicory
n07722052	tabasco
n03359436	flash memory
n11814584	soapwort
n04557648	water bottle
n04080138	resonator
n02094433	Yorkshire terrier
n03047052	clock tower
n03020692	chisel
n04338517	stringed instrument
n03822656	newsstand
n02052775	frigate bird
n12604228	sour dock
n03718212	man-of-war
n04325704	stole
n04122578	sabot
n10791221	workman
n03187268	dialog box
n09403734	range
n02192513	flesh fly
n03688943	lookout
n07906572	blended whiskey
n04246855	smoker
n03188531	diaper
n03449309	gouge
n02023992	killdeer
n03886053	panzer
n07871436	meatball
n03547054	hovel
n02359324	prairie dog
n01792640	hen
n07714802	red cabbage
n02950943	cannonball
n02822220	bedspread
n09722658	Mexican
n02538216	brook trout
n02851939	blindfold
n03345487	fire engine
n04496872	tumbler
n07713895	cabbage
n03173929	delivery truck
n07922764	cocoa
n04004475	printer
n02644113	rockfish
n07584332	bisque
n02885108	boxcar
n07715561	squash
n02366959	coypu
n12306717	jasmine
n01881171	phalanger
n07908411	absinth
n02548247	goosefish
n03544238	hour hand
n13183056	hart's-tongue
n02099029	retriever
n02970408	carryall
n10607478	skinhead
n03915900	perforation
n13134947	fruit
n01859190	mute swan
n02761557	automobile engine
n03696065	luggage compartment
n07916041	martini
n03207743	dishrag
n02785648	bandage
n01887474	livestock
n01682435	basilisk
n01456756	seahorse
n07749446	kumquat
n12305986	mountain ash
n12791329	mock orange
n04513827	upholstery
n12476510	agave
n07581346	appetizer
n01568294	American redstart
n02365480	capybara
n01775062	wolf spider
n03521544	hip boot
n03841666	office
n02814533	beach wagon
n07575726	dinner
n02082791	aardvark
n04068441	refinery
n03612010	ketch
n01326291	microorganism
n02839351	billiard ball
n03898633	patchwork
n02122725	tom
n03469903	gunnysack
n10627252	soul mate
n04594828	wire cutter
n04506289	uke
n04465666	tractor
n02108551	Tibetan mastiff
n03904183	pedestrian crossing
n03982430	pool table
n12790430	deutzia
n02125311	cougar
n06266633	Fleet Street
n02375302	roan
n01537544	indigo bunting
n01747885	cobra
n10763383	waiter
n10376523	oldster
n03095699	container ship
n03877472	pajama
n10143172	grandparent
n03587205	irrigation ditch
n02677718	action
n04469003	tramline
n10320863	minister
n12189987	baobab
n01857079	snow goose
n11876634	cauliflower
n03884926	pantheon
n02367492	chinchilla
n01602832	red-eyed vireo
n04204347	shopping cart
n07612137	pavlova
n01693783	chameleon
n03791235	motor vehicle
n02841315	binoculars
n02922292	burial mound
n02123597	Siamese cat
n09362945	mull
n12782530	sundew
n02416104	aoudad
n03924679	photocopier
n04153025	screen door
n03792048	mound
n03113152	cosmetic
n11866248	spiderflower
n01614343	golden eagle
n11901977	oriental poppy
n01852142	wood duck
n03647520	launcher
n07590320	goulash
n04350458	suede cloth
n01477525	lamprey
n07716358	zucchini
n01580077	jay
n10116702	futurist
n02649546	flathead
n11545714	fern
n03506370	health spa
n03073977	column
n01814217	mourning dove
n04459610	toweling
n03101517	cookie cutter
n02504013	Indian elephant
n03574816	instrument
n03116530	counter
n07705931	edible fruit
n10672371	Sufi
n12622875	agrimonia
n03536122	horizontal stabilizer
n02307325	tent caterpillar
n12620546	hip
n03179701	desk
n04422727	thermos
n11544015	hepatica
n02316707	echinoderm
n03680355	Loafer
n09505153	spiritual leader
n02081571	walrus
n02087046	toy terrier
n15075141	toilet tissue
n01841679	wryneck
n09934774	coiffeur
n02813645	bazaar
n07869775	kabob
n02377703	saddle horse
n01591123	red-breasted nuthatch
n02382437	pony
n02933112	cabinet
n10208950	inspector general
n10682953	sweetheart
n07619004	custard
n06277135	radio
n02113335	poodle
n10085869	fiance
n02667379	abbey
n12719944	garden nasturtium
n13136556	nut
n03967562	plow
n11901759	Iceland poppy
n03062122	cocktail lounge
n02086753	King Charles spaniel
n03903868	pedestal
n10465451	premature baby
n03795976	movie projector
n14976759	pantile
n07751148	nectarine
n02843158	birdbath
n03595860	jet
n07907429	rye
n04409806	tennis racket
n02906734	broom
n01848648	widgeon
n01847806	mallard
n11644046	western red cedar
n04402449	telephone pole
n02097047	miniature schnauzer
n13135832	seed
n04372370	switch
n12252168	shortia
n03372549	flute
n07687381	baguet
n02681392	adobe
n01604330	bird of prey
n12293723	gentian
n07830593	hot sauce
n07819769	nasturtium
n07560903	diet
n03785016	moped
n07903643	Calvados
n02870880	bookcase
n03324928	fatigues
n04528968	vernier caliper
n07880080	teriyaki
n03626760	knocker
n07879174	sukiyaki
n12574866	gorse
n03454707	grate
n11916696	yarrow
n03320421	fan blade
n04222210	single bed
n07923748	juice
n02312427	pupa
n01791625	chicken
n12171316	common mallow
n10296176	marshal
n09843443	bat boy
n12400720	jackfruit
n03770954	mink
n03441112	glove
n09191635	air bubble
n07893528	sparkling wine
n04123740	saddle
n03444034	go-kart
n03631922	lacquerware
n10082043	father-in-law
n09622302	lover
n04565375	weapon
n04417809	theater
n14698884	gravel
n01792042	chick
n01548492	Arkansas kingbird
n09873348	brawler
n02075927	pinniped mammal
n12260799	beech
n04610676	yard
n12056217	lady's slipper
n01809106	guinea fowl
n03206718	disguise
n01339083	herpes simplex 1
n02108672	bulldog
n02132136	brown bear
n07841800	Easter egg
n02018368	Old World coot
n04225031	sitz bath
n12710295	tangerine
n10303814	mayor
n02499316	potto
n10142747	grandma
n01806567	quail
n09770179	adjutant
n07834507	mayonnaise
n10422405	philatelist
n01850192	bufflehead
n03529175	home room
n02802215	basket
n02578771	amberjack
n02395406	hog
n03861271	outrigger
n03795758	movement
n01619536	condor
n12291959	prairie gentian
n03662719	life buoy
n02396427	wild boar
n03797390	mug
n01985128	crayfish
n12727101	pussy willow
n02208280	honeybee
n07774842	pine nut
n13154494	frond
n02077923	sea lion
n01438581	loach
n01623706	scops owl
n01856155	gander
n12822955	common comfrey
n07772788	hazelnut
n07726796	common bean
n10467395	President of the United States
n03158186	dacha
n02226429	grasshopper
n07743544	blueberry
n03349771	first base
n02734725	architecture
n02504458	African elephant
n03887697	paper towel
n01857632	honker
n12607456	pineapple
n04593866	wiper
n01504179	fledgling
n09683757	Buddhist
n03114379	cosy
n02134084	ice bear
n11715430	water nymph
n02797692	base
n01605630	hawk
n07824702	paprika
n04559451	water faucet
n02788021	banner
n03884778	pantheon
n02078574	California sea lion
n04597913	wooden spoon
n12244153	rhododendron
n04228054	ski
n07823698	cranberry sauce
n10578471	senator
n04263502	soupspoon
n02676566	acoustic guitar
n04459362	towel
n03614007	keyboard
n02932693	cabin class
n02754656	atrium
n04037220	rabbit hutch
n01609062	swallow-tailed kite
n02815834	beaker
n10613996	smasher
n07560652	fare
n03498781	hatchback
n03447447	gondola
n03320959	fanlight
n07925966	fruit drink
n03160740	damask
n12102133	grass
n04590021	window seat
n10091564	fire-eater
n02016816	moorhen
n08571898	flea market
n03993180	pouch
n03568117	indicator
n04238617	slide projector
n01560419	bulbul
n07719213	asparagus
n04461879	toy
n04496614	tulle
n02233338	cockroach
n04355267	sun deck
n03724870	mask
n04080833	respirator
n01960459	oyster
n04380346	table knife
n03506727	hearing aid
n12387839	violet
n03309808	fabric
n12570394	Japanese pagoda tree
n03359137	flashlight
n12093329	cyclamen
n07847198	cream
n04584373	wigwam
n01323599	thoroughbred
n04205318	short pants
n03620967	kitchen table
n07680932	bun
n03250847	drumstick
n02331046	rat
n07905979	tequila
n02799071	baseball
n04546340	Walkman
n09199101	anthill
n02177972	weevil
n07651025	puree
n09915434	Cheops
n09941964	commanding officer
n02995345	central processing unit
n07871810	meat loaf
n10508710	reader
n10665698	student
n03733281	maze
n12095020	loosestrife
n12427566	tiger lily
n03475823	hairdressing
n03480719	halter
n04133789	sandal
n12485653	butterfly bush
n11972759	cudweed
n03200701	dining room
n10753442	villager
n02667478	abbey
n07928887	root beer
n02527271	moray
n03026907	chronograph
n02008041	heron
n02073250	sea cow
n09453008	tableland
n03814906	necklace
n03325941	fedora
n01872401	echidna
n12300840	olive tree
n07712382	snack food
n01796340	ptarmigan
n03176386	denture
n03657511	leotard
n07769584	quince
n07712559	chip
n04590553	windshield
n07588947	stew
n01841288	yellow-bellied sapsucker
n01606522	goshawk
n02409508	Cape buffalo
n04447276	toilet powder
n02732072	aquarium
n11599324	welwitschia
n13100677	vine
n10267311	little brother
n10055410	enchantress
n10261624	light heavyweight
n07901457	muscat
n11704093	true laurel
n02427724	waterbuck
n13108841	conifer
n04191943	shelter
n04212165	shuttle bus
n03220237	dolmen
n03663531	life preserver
n09620794	native
n02977330	cashmere
n07736692	spinach
n02963159	cardigan
n10465831	presbyter
n03727837	mat
n01947396	whelk
n02835915	bicycle seat
n03528901	home plate
n12732491	black poplar
n07608429	nougat bar
n07817871	fennel
n12709103	pomelo
n04579986	white
n04536866	violin
n07687626	Italian bread
n03772584	minute hand
n10243137	lady
n01884834	Tasmanian devil
n11968704	Joe-Pye weed
n12974987	slime mold
n02821627	bedroom
n04381994	tableware
n03483230	handbell
n09381242	outcrop
n10093818	fishmonger
n03735637	measuring stick
n04168840	seismograph
n02780815	ballet skirt
n01879509	tree wallaby
n01909906	polyp
n09720256	Latin American
n04241249	slip-on
n02710324	anechoic chamber
n07694659	shortcake
n10522035	representative
n04376876	syringe
n07883031	filling
n10178216	hitter
n01587526	catbird
n04171629	semiautomatic pistol
n09789566	amputee
n03452449	granary
n07731284	chicory
n01829869	hoopoe
n04225987	skateboard
n12858871	bee balm
n07588193	won ton
n06272290	telephone
n03429288	gauge
n01531512	siskin
n04239436	sling
n02667576	abbey
n04008385	production line
n09409752	ridge
n02083346	canine
n09416076	rock
n03122295	covered wagon
n02803349	bass
n02790823	barbed wire
n04269944	spatula
n03202354	dinner table
n04304680	starting gate
n01851731	lesser scaup
n04508163	undergarment
n02276749	white admiral
n03751757	metal detector
n03548533	hulk
n10748620	very important person
n03256928	dungeon
n03147509	cup
n02563792	bluegill
n02703275	ammunition
n04093625	rink
n07928790	Pepsi
n04310018	steam locomotive
n03236423	dredger
n03801533	music hall
n12301180	olive
n07733394	gumbo
n03040376	clean room
n03457902	greenhouse
n07591049	Irish stew
n01818832	kea
n07614730	ice-cream cone
n02728440	apparel
n02006364	sacred ibis
n09689435	Afghan
n07573347	Spam
n03656484	lens
n03488188	handsaw
n01819734	cockateel
n02406174	dairy cattle
n02423022	gazelle
n12927013	cassava
n02666943	abattoir
n04202417	shop
n07906284	whiskey
n04137444	satellite
n02115641	dingo
n01536035	chipping sparrow
n01559804	wood thrush
n02034661	stilt
n03086580	concert hall
n01641391	leopard frog
n10487182	pruner
n11727091	columbine
n03696568	lugsail
n03670208	limousine
n02430045	deer
n07575984	supper
n03067339	cold cream
n07600285	bubble gum
n11756092	acacia
n02898585	bridal gown
n02302620	silkworm
n10618342	soccer player
n03502200	headboard
n04247736	snack bar
n01972541	cuttlefish
n02419796	antelope
n03496892	harvester
n02058594	wandering albatross
n07806221	salad
n12749679	wahoo
n03794798	mouthpiece
n03326795	felt
n04349401	subwoofer
n02944459	camouflage
n03728437	match
n09923673	citizen
n03180969	detector
n12610328	water hyacinth
n07687469	French bread
n04264914	spacecraft
n12867826	skullcap
n07895435	claret
n11753355	red clover
n02200198	mosquito
n03088580	condominium
n02090622	borzoi
n04184880	sharkskin
n03541269	hospital ship
n09270735	dune
n02310585	cabbageworm
n08583292	hemline
n12712626	fraxinella
n02071294	killer whale
n09861946	boatman
n03209910	diskette
n12889713	common mullein
n02047045	pigeon guillemot
n02107683	Bernese mountain dog
n02726681	apartment building
n11621950	balsam fir
n09303008	hill
n04556533	watch case
n09972010	cousin
n07607967	cough drop
n02762508	autostrada
n07750449	citron
n04039381	racket
n04453666	top
n07605040	cotton candy
n01741943	boa
n02686568	aircraft
n03843438	oilcloth
n04562935	water tower
n07903731	Armagnac
n12997654	basidiomycete
n03475581	hairbrush
n09792555	ancestor
n08640531	resort
n03494706	harness
n02387093	Percheron
n03123809	cowbarn
n10804287	young buck
n02056570	king penguin
n03249342	drugstore
n03332005	fiberscope
n02161457	pollinator
n07906877	corn whiskey
n03390983	frame
n03745571	menhir
n02377388	gelding
n04613939	Zamboni
n03888257	parachute
n12115180	pampas grass
n04402984	telephone wire
n02272871	earwig
n02494079	squirrel monkey
n02607072	anemone fish
n03773504	missile
n03937835	pillbox
n02809241	batiste
n12711984	lime
n07615460	strawberry ice cream
n03200357	dining car
n03822171	newspaper
n02407276	Galloway
n07643306	jelly
n02603317	barracuda
n13103877	snag
n04147183	schooner
n03643737	laser printer
n02813399	bay window
n01538630	snow bunting
n10241300	laborer
n01608814	black kite
n02918112	bullring
n07616386	parfait
n02760199	automat
n12515711	chickpea
n12801781	bog star
n04378956	tabi
n09779790	agriculturist
n09974648	craftsman
n12037691	Canterbury bell
n04399537	tee
n04011827	propeller
n03424325	gasmask
n04383839	taffeta
n01621635	owlet
n03078287	communication system
n04265904	space rocket
n02578928	yellowtail
n11552386	spermatophyte
n12179122	cotton rose
n04277493	spindle
n03149686	curbstone
n04052442	ranch
n03928814	piano keyboard
n01614925	bald eagle
n04236377	sleeve
n07685399	Irish soda bread
n04069434	reflex camera
n07929172	tonic
n02118333	fox
n03989898	posthouse
n12050533	cattleya
n01539573	sparrow
n02364673	guinea pig
n13003522	blushing mushroom
n01849863	ruddy duck
n12345280	pomegranate
n02410509	bison
n03760671	microscope
n02076196	seal
n12480456	tuberose
n11870747	alyssum
n03075370	combination lock
n10563403	scrambler
n07749192	navel orange
n03337140	file
n02954163	canvas tent
n07694839	hardtack
n09846755	beekeeper
n10137825	gondolier
n03457686	greengrocery
n03041810	clerestory
n03257586	duplicator
n04516116	urn
n02047260	murre
n03935335	piggy bank
n04091693	rigging
n04569822	wedge
n03438071	girdle
n11620673	fir
n03738472	mechanism
n03552749	hydrofoil
n04411264	tent
n01820052	lovebird
n04332243	strainer
n03819595	net
n15102894	knothole
n12641413	cherry
n02060411	shearwater
n02979399	cassette tape
n12566331	red sandalwood
n04294879	stable
n03719343	mantel
n02005399	shoebill
n08573842	garbage heap
n03965456	plaza
n04051825	rampart
n02068974	dolphin
n04179913	sewing machine
n12651229	Pyracantha
n12483427	Adam's needle
n10112129	monk
n03080497	compass
n07723177	shallot
n07905038	rum
n03388183	fountain pen
n09805324	archer
n03801353	music box
n02153109	big game
n01582398	European magpie
n07725531	green pea
n09705124	Ethiopian
n07823460	salsa
n04592005	wine cask
n02804123	bass guitar
n02376791	colt
n02927161	butcher shop
n02005790	ibis
n02139671	fruit bat
n10157128	halfback
n04038440	rack
n04551055	warehouse
n03546340	housing
n01872772	echidna
n07841495	boiled egg
n09988063	dad
n04187547	shed
n09890749	candidate
n12860365	basil
n03241335	drinking fountain
n02085936	Maltese dog
n04487394	trombone
n01586374	cactus wren
n01596273	bank martin
n02346627	porcupine
n11928352	artemisia
n04467307	trailer
n03709823	mailbag
n03782006	monitor
n12373100	papaya
n10345015	nan
n07590502	hotchpotch
n13108481	sapling
n09815790	assistant
n03359566	flask
n02871963	boomerang
n04335693	street clothes
n09712696	Malay
n10087434	fighter pilot
n04196502	shipping
n01797601	sage grouse
n09361517	mountainside
n07743902	cranberry
n03296328	escarpment
n04530283	vertical tail
n03914106	peplum
n01953762	tiger cowrie
n04447028	toilet bowl
n07921455	cider
n09432283	shell
n02687172	aircraft carrier
n04105893	room
n04452757	toolshed
n03482405	hamper
n04209239	shower curtain
n07585208	broth
n11971927	Barberton daisy
n03423306	gas gun
n03743279	megaphone
n02512938	food fish
n07572353	commissariat
n01322343	pup
n07880213	terrine
n04179824	sewing kit
n03694639	LP
n02678897	adapter
n07690739	popover
n07614825	chocolate ice cream
n01883070	wombat
n09964202	copilot
n02120079	Arctic fox
n03014705	chest
n02955065	cap
n03065424	coil
n07718747	artichoke
n04128837	sailing vessel
n02433546	roe deer
n02993368	censer
n01519563	cassowary
n02897820	brick
n01922303	worm
n02687821	airdock
n03662601	lifeboat
n02902079	brim
n03201638	dinner dress
n03580518	internal drive
n01843383	toucan
n02812201	battleship
n02517442	catfish
n03665366	light
n12708293	orange
n02012849	crane
n03745146	menagerie
n07765999	jujube
n03896233	passenger train
n10192839	hunk
n04435653	tile roof
n11853356	Christmas cactus
n12384839	love-in-a-mist
n01497118	sawfish
n12479537	dracaena
n01608432	kite
n02114712	red wolf
n07904934	ouzo
n02387722	post horse
n04598582	woodwind
n02894605	breakwater
n01585121	marsh wren
n01821203	parakeet
n02100877	Irish setter
n02793089	baritone
n09242389	chasm
n10470779	priest
n04358874	superstructure
n09428628	seaside
n04154152	screw
n02977058	cash machine
n02698634	alpenstock
n02815950	beam
n07696977	open-face sandwich
n04030518	quad
n07866277	rissole
n11950345	chrysanthemum
n02099712	Labrador retriever
n02727016	aperture
n10282482	maid
n02073831	manatee
n02988679	CD-ROM
n10467179	president
n02268443	dragonfly
n12768682	buckeye
n03424630	gasoline engine
n03037709	clarinet
n04596852	woman's clothing
n09624168	male
n02393580	tapir
n02251775	plant louse
n03556992	icebreaker
n03974070	pogo stick
n01570839	common yellowthroat
n04606574	wrench
n03409297	gabardine
n07576182	buffet
n02024763	lapwing
n04089836	riding crop
n03038870	clavichord
n07823105	chutney
n04589190	window blind
n11784497	jack-in-the-pulpit
n10117851	gal
n03653583	lectern
n03679712	living room
n03028596	church bell
n12501202	tamarind
n04235860	sleeping bag
n04249415	snare drum
n04201733	shooting brake
n01519873	emu
n02840619	binding
n07722217	onion
n13133932	spadix
n01981276	king crab
n09393605	plain
n02097130	giant schnauzer
n02879309	boutique
n03010473	chassis
n02029378	sanderling
n04561422	water mill
n12465557	squaw grass
n03241093	drill rig
n07615774	ice lolly
n03138669	crown
n04018399	public house
n03911658	penknife
n09398677	precipice
n02173373	Japanese beetle
n09774783	advocate
n03487090	handlebar
n02069412	common dolphin
n07715103	cauliflower
n11857875	rose moss
n03303831	exhibition hall
n03667829	light microscope
n02168699	long-horned beetle
n03026506	Christmas stocking
n03824381	nightgown
n01549641	western wood pewee
n13102775	tendril
n11901294	Iceland poppy
n14844693	soil
n03505133	headrest
n02880189	bow
n02374451	horse
n09629752	traveler
n02089232	dachshund
n02900160	bridle
n10513823	redhead
n12249542	cowberry
n03955296	plane
n09734450	Tibetan
n03612965	kettle
n02761392	automaton
n04365328	surveillance system
n07928696	Coca Cola
n01494475	hammerhead
n04450133	Tommy gun
n03367059	floor lamp
n06874185	traffic light
n07919441	Irish coffee
n07822845	chili sauce
n04556948	watchtower
n07733567	kohlrabi
n07849733	whey
n04314914	step
n02860415	bobbin
n02032222	whole snipe
n03273061	electric motor
n07566340	foodstuff
n02919414	bundle
n03376595	folding chair
n11924849	great burdock
n11772408	periwinkle
n07614198	ice
n01514752	gamecock
n03859958	outfit
n04605321	worsted
n02777927	balcony
n12828791	Japanese morning glory
n02428349	oryx
n02103406	working dog
n04275175	spice rack
n07561590	dietary
n10655594	steward
n01560105	nightingale
n03456665	greatcoat
n02849885	blast furnace
n07690585	Yorkshire pudding
n03371875	flush toilet
n02729965	appliance
n02791124	barber chair
n13002750	royal agaric
n04238128	slide
n03372029	flute
n07804657	white rice
n02828884	bench
n03213826	distributor point
n01601694	water ouzel
n03743902	memorial
n04317833	stick
n12719684	nasturtium
n10263411	lineman
n02758863	autobahn
n09376526	ocean floor
n03011741	checkout
n02792552	barge
n02062744	whale
n10185793	horseman
n03703730	macrame
n04596742	wok
n03334912	fifth wheel
n07838073	gravy
n13131618	petiole
