n04403638	望远镜
n07842308	炒鸡蛋
n02064816	蓝鲸
n04571566	堰
n01882714	考拉
n02329401	啮齿动物
n09210862	环礁
n12724942	柳树
n03623556	刀
n03646296	车床
n12733647	杨树
n07765361	番石榴
n02980441	城堡
n03238879	晚礼服衬衫
n07684600	速食面包
n03409591	山墙顶
n03963198	大浅盘
n02791270	理发店
n02501583	眼镜猴
n03527444	枪套
n03467068	断头台
n04571958	焊接
n04296562	阶段
n02010272	牛白鹭
n07767847	梨
n06271778	电信
n02431785	瓦皮蒂
n02788148	栏杆
n09633969	作恶者
n03016389	鸡笼
n03367410	花店
n02672831	手风琴
n02861387	紧身胸衣
n04590933	温莎椅
n02880940	碗
n09836160	斗牛士
n04392113	卷尺
n01324610	草食动物
n01323493	水坝
n03072201	彩色电视
n03261019	耳垂耳垂
n01564217	红宝石王冠小王
n07734017	番茄
n13132656	圆锥花序
n04289027	洒水器
n01850553	巴罗的戈德内耶
n07841907	复活节彩蛋
n03706653	磁盘
n02969323	行车道
n13223710	地杉树
n04173046	化粪池
n04603729	工作台
n04553703	洗手盆
n04606251	沉船
n11789066	臭鼬卷心菜
n03782190	监视器
n03445777	高尔夫球
n03352628	渔网
n02801938	手提篮
n03871628	小包裹
n13022709	菌丝体
n04322801	库存车
n03546235	屋顶
n02508021	浣熊浣熊
n09627906	收件人
n03340723	取景器
n02842573	双平面
n12922763	巴豆
n01573360	西梅多拉克
n03233905	抽屉
n02484473	旧大陆猴子
n02586543	鲷鱼
n11725015	银莲花
n12329260	紫薇
n04069276	反射器
n03760310	微处理器
n03987266	肖像照相机
n02764779	轴
n04315948	立体声
n04548280	挂钟
n12158443	南瓜
n10380672	演说家
n07684517	葡萄干面包
n07595914	糖粉
n04482177	三角兽
n01439514	挑剔
n01321579	年轻
n03098688	控制室
n10674713	相扑力士
n10734394	成双的
n12658118	山灰
n02382338	犁马
n02085620	奇瓦瓦
n07691650	新月形面包
n12278650	栓皮橡木
n01575401	红翼黑鸟
n03721384	木琴
n12710693	甜橙
n11915899	永恒的花
n03386011	堡垒要塞
n12830222	阿基米德
n04081699	休息室
n02619165	虾虎鱼
n04254777	短袜
n10602985	姐姐姐姐
n05586759	外骨骼
n03849679	开放式工作
n06272803	呼叫
n03063599	咖啡杯
n02739668	装甲盔甲
n11665372	被子植物
n03239726	训练
n04313628	石碑
n02210427	安德烈娜
n02279257	孔雀
n12190410	木棉
n07873807	披萨
n01681940	角蜥蜴
n04525038	天鹅绒
n13897996	平衡
n02027357	最少的风笛手
n01900150	头发
n02092468	梗犬
n01527347	绿篱麻雀
n03510244	热沉
n04026417	钱包
n04453910	顶盖
n07655263	炒
n02387346	夏尔
n02802426	篮球
n02968074	车位
n09889941	露营者
n01874434	有袋哺乳动物
n02692232	机场
n10049363	电工
n02110627	阿芬芬舍尔
n03484931	手持玻璃
n04262161	发声板
n01557185	鸫鸟
n03497657	帽子
n07601809	焦糖色素
n07625061	萨摩萨
n03063073	咖啡杯
n03438661	玻璃
n07572957	罐头食品
n02730930	围裙
n12455950	格洛丽萨
n04100519	牛仔竞技比赛
n07586894	小栗子
n04257790	太阳能电池板
n04000592	记者席
n04121511	军刀刀
n03274265	电动牙刷
n02760429	自动武器
n03617480	和服
n01544389	斑马·芬奇
n04172776	岗亭
n01536186	野麻雀
n03614782	锁孔
n11759404	蚕丝树
n10353016	新生儿
n12334293	桉树胶
n02950256	大炮
n11862835	火焰花
n12462805	海鸥
n13221529	青苔俱乐部
n04266375	宇航服
n03906997	笔
n02176261	金龟子
n01620735	秃鹰王
n07804323	大米
n02824058	啤酒杯
n11712282	郁金香树
n03469175	枪外壳
n07749582	柠檬
n04027023	按钮
n03019685	颏托
n03927539	光电扫描仪
n09877951	兄弟
n04165409	截面
n03826186	尼森小屋
n10368528	仙女
n04046590	轨道
n02488702	疣猴
n02881757	圆顶帽
n02055803	企鹅
n10317500	军警
n04033901	羽毛笔
n02100399	设定器
n12352287	香蕉
n02426813	大地
n04492749	桁架桥
n03050546	衣柜
n09215437	盆地
n13077295	霉病
n07578093	宴会
n03775071	手套
n03033986	电路板
n07599998	口香糖
n12441183	芦笋
n11686912	孢子体
n12908645	铜花
n07820497	鼠尾草
n02032480	伟大的狙击手
n01813088	木鸽
n07886057	自制
n03673027	班轮
n02800213	棒球手套
n03498662	掀背
n03089879	会议室
n11808468	康乃馨
n02786058	创可贴
n08598301	草地
n12676703	小号金银花
n12890265	维罗妮卡
n12992868	真菌
n03891332	停车收费表
n02676938	卫城
n02077152	毛皮海豹
n03128248	蜡笔
n02332755	场鼠标
n02564720	黑鲈鱼
n04313503	方向盘
n03291819	信封
n07612367	鞭子
n01622483	大角猫头鹰
n02188699	双翅目昆虫
n12717072	臭椿属
n02108089	拳击手
n01540832	霍芬奇
n02137015	吉内特
n04588739	窗口
n09193705	碱性磷酸酶
n02152881	猎物
n09918248	孩子
n07711569	马铃薯泥
n03661340	盖子
n01769347	蛛形纲
n07730406	芹菜
n09607630	被任命人
n11838916	九重葛属
n03880531	平底锅
n02096756	雪纳瑞
n03455488	墓碑
n02088094	阿富汗猎犬
n04589593	窗框
n02870676	书包
n04074963	遥控
n04393095	磁带录音机
n04033425	女王
n04019101	公共交通
n02376679	菲利
n04404997	电视摄像机
n02049088	潜水员
n12480895	桑塞维利亚
n11969166	乔·皮·威德
n03815482	领口
n03790755	汽车旅馆
n02169974	科罗拉多马铃薯甲虫
n02000954	涉水鸟
n03196217	数字钟
n13139055	荚果
n02731629	水肺
n07814487	丁香
n02783324	舞厅
n12726670	垂柳
n07725376	豌豆
n10187990	酒店老板
n02739889	装甲车
n01619835	安第斯秃鹰
n01592387	簇状山雀
n02773037	袋
n03873416	桨
n07713074	茄子
n03517647	躲起来
n07753743	西番莲
n03173387	熟食店
n12587803	椰子
n04161981	座位
n02892201	黄铜
n07697537	热狗
n02153203	猎鸟
n05578095	脚后跟
n02935891	自助餐厅
n01699040	凯曼
n04324387	储藏室
n02016066	斑点岩
n12282737	绒毛桦树
n12950314	普通缬草
n04340750	强力盒
n03709206	放大镜
n04067658	卷轴
n03532342	钩
n12294871	大黄龙胆龙胆
n03790230	机动船
n03287733	发动机
n02871147	书签
n02027492	红背风笛手
n02209624	大黄蜂
n07843636	炒鸡蛋
n04207903	肩垫
n07584110	清汤
n02080415	大象海豹
n03915437	打击乐器
n03617312	苏格兰短裙
n02424085	邦戈
n03530910	发动机罩
n01772222	蜘蛛
n03621049	厨房用具
n04543158	货车
n03132776	克里诺林
n09840217	男爵
n01828556	库卡布拉
n03132076	板球球棒
n07892512	红葡萄酒
n07752377	干果
n12833149	非洲紫罗兰
n12036939	风铃
n03529629	家宅
n02327028	杰克兔
n03332393	野战炮兵
n02938886	计算器
n11888800	紫罗兰
n04024983	平底船
n03326948	毡尖笔
n03981566	浮筒
n03539678	马迹
n03476083	假发
n07609215	糖糖
n02931836	出租车司机
n11773987	夹竹桃
n13148208	波士顿常春藤
n03146449	死胡同
n04340935	坚固
n04395024	防水油布
n01500091	曼塔
n03075768	被子
n01792158	公鸡
n11970586	盖尔地亚
n02324045	兔子
n04584207	假发
n04335435	有轨电车
n10104064	老板
n07842202	水煮蛋
n11487732	帕赫利昂
n03725035	面具
n03643253	激光
n01562014	蓝知更鸟
n04217546	信号塔信号箱
n04505036	打字机
n02099997	指针
n04046277	拉格伦
n03992703	陶器
n10226413	杂耍演员
n12345899	红树林
n12822115	别忘了我
n07822197	番茄酱
n02643112	蝎子鱼
n10595164	同胞兄弟姐妹
n12545635	鸟脚三叶草
n03690938	洗剂
n07710952	烤马铃薯
n04246271	烟熏
n04008634	射弹
n03892557	教区牧师教区教区
n02732572	阿拉伯风格
n03484083	手推车
n06255081	车辆
n02839592	台球室
n02818832	床
n07583066	鳄梨酱
n02423589	跳羚
n01573898	Bobolink
n07612632	布丁
n03142679	水晶
n04582349	柳条筐
n02808440	浴缸
n09260907	耕地
n07697825	轰炸机
n01748906	哈马德雅德
n02122948	小猫
n02934451	缆车
n15102455	硬纸板
n07879953	天麸罗
n11774513	弗朗吉帕尼
n07685730	黑麦面包
n07763629	猕猴桃
n01611969	红隼
n10332385	母亲
n02373336	奇数趾有蹄类
n03294048	设备
n02952109	天蓬
n14820180	混凝土
n02793495	谷仓
n03958227	塑料袋
n01666228	普通甲鱼
n07747055	柑橘
n02944579	伪装
n03466600	导弹护卫舰
n02883205	领结
n13022210	冬菇
n01730960	黑蛇
n01713764	霸王龙
n07684289	南
n02708433	模拟手表
n01397114	藻类
n01317813	饲养员
n01982068	欧洲蜘蛛蟹
n03577090	集成电路
n10559996	校长
n03736970	机械装置
n02683791	剃须后
n03214253	沟
n03870290	起搏器
n10406266	族长
n03918480	个人电脑
n02072798	白鲸
n03100240	可转换的
n02763306	辅助存储器
n08539072	商业区
n02741475	扶手
n02482650	侏儒黑猩猩
n09841696	基础跑者
n03802393	薄棉布
n03355925	旗杆
n04309049	蒸汽机
n01629962	斑点蝾螈
n10387324	右手投手
n03373237	飞
n02787435	手镯
n03619890	厨房
n02169497	金黄色甲虫
n04234455	样条
n07900825	港口葡萄酒
n12004547	甜叶菊
n04453037	牙齿
n07757132	樱桃
n01319467	海洋动物
n07583197	汤
n04045644	拉夫特
n02431337	鹿
n03560430	伊格卢
n03223299	门垫
n03727605	杰作
n04574067	湿式西服
n04471148	转交
n04004767	打印机
n03848348	开瓶器
n11757851	惠萨切
n02103841	看门狗
n02786198	班达纳
n03169176	脱脂
n01704323	三角恐龙
n10054657	雇主
n12269241	活橡树
n03253796	达夫尔
n01806297	孔雀
n11448153	沙尘暴
n07928367	姜汁汽水
n03995265	电源线
n02686379	空调
n07620689	玛拉希诺
n12969131	地球球
n02933462	柜子
n03504723	总部
n01848123	蒂尔
n01857851	藤壶鹅
n09650729	比洛克西
n01558307	野地
n11995092	甜假洋甘菊
n02069701	宽吻海豚
n03091044	连杆
n12695144	红木
n02710044	安迪龙
n02988156	光盘驱动器
n07565161	周
n12098403	白花丹
n07585758	西班牙凉茶
n04198797	减震器
n02102318	可卡犬
n07736813	香芋
n04322026	枪托
n04608435	写字台
n12316572	甜胶
n11892637	股票
n09763784	熟人
n04317976	操纵杆
n07698543	鲁本
n02281015	小白
n09454412	纠纷
n03336575	长丝
n03199647	就餐者
n04414675	特斯拉线圈
n03531281	罩
n03283221	急诊室
n04252225	雪犁
n03759954	麦克风
n04545305	沃克
n15090065	维生素A1
n07610620	烘焙阿拉斯加
n12801520	帕纳西娅
n01945685	蛞蝓
n01698434	鳄鱼
n03301568	低音号
n04533802	录像机
n03291741	信封
n09718936	韩国人
n04065789	回收箱
n01915700	海笔
n12144580	玉米
n10195593	伪君子
n04356925	太阳馆
n02975212	箱子
n04028315	令人费解的事
n01592694	蓝山雀
n04586581	钥匙卷绕机
n03105467	牛腿桁架
n07763987	山竹果
n04297098	舞台马车
n03427296	大门
n03781787	班长
n10259780	中校
n09873899	饲养员
n03676623	利口酒玻璃
n10060352	企业家
n15019030	沙
n03186818	拨号
n04525191	平绒
n01887896	小牛
n03099274	便利店
n13043926	泡泡球
n03239054	连衣裙
n03718789	Mansard
n09289331	冰川
n06596364	漫画书
n04605163	精纺毛织物
n04402057	电话线
n01795545	黑松鸡
n09189157	艾丽
n02950632	大炮
n03598930	拼图游戏
n07682316	黑面包
n04070727	冰箱
n03048883	闭路
n01518878	鸵鸟
n04405907	电视接收机
n02981024	地下墓穴
n04518132	真空瓶
n02882647	保龄球针
n07617708	梅子布丁
n07623136	糕点
n03691817	休息室
n03211117	显示器
n12190869	榴莲
n01594372	吞
n02823335	啤酒桶
n12001707	Cineraria
n03316105	传真机
n11953610	菊苣
n07722052	塔巴斯科红辣椒
n03359436	闪存
n11814584	肥皂草
n04557648	水瓶
n04080138	谐振器
n02094433	约克郡梗
n03047052	钟塔
n03020692	凿子
n04338517	弦乐器
n03822656	报刊亭
n02052775	护卫舰鸟
n12604228	酸味码头
n03718212	战士
n04325704	偷
n04122578	马刀
n10791221	工人
n03187268	对话框
n09403734	山脉
n02192513	肉蝇
n03688943	了望台
n07906572	混合威士忌
n04246855	吸烟者
n03188531	尿布
n03449309	圆凿
n02023992	基尔鹿
n03886053	装甲车
n07871436	肉丸
n03547054	小屋
n02359324	草原土拨鼠
n01792640	母鸡
n07714802	红甘蓝
n02950943	炮弹
n02822220	床罩
n09722658	墨西哥人
n02538216	溪鳟
n02851939	眼罩
n03345487	消防车
n04496872	平底玻璃杯
n07713895	卷心菜
n03173929	送货车
n07922764	可可
n04004475	打印机
n02644113	岩鱼
n07584332	浓汤
n02885108	棚车
n07715561	壁球
n02366959	鸭嘴兽
n12306717	茉莉
n01881171	阴茎
n07908411	苦艾酒
n02548247	鹅卵石鱼
n03544238	时针
n13183056	雄鹿的舌头
n02099029	猎犬
n02970408	手提行李
n10607478	光头
n03915900	射孔
n13134947	水果
n01859190	沉默的天鹅
n02761557	汽车发动机
n03696065	行李箱
n07916041	马蒂尼
n03207743	抹布
n02785648	绷带
n01887474	牲畜
n01682435	蛇怪
n01456756	海马
n07749446	金柑
n12305986	山灰
n12791329	假橙子
n04513827	室内装饰
n12476510	龙舌兰
n07581346	开胃菜
n01568294	美国红星
n02365480	水蚤
n01775062	狼蛛
n03521544	后备箱
n03841666	办公室
n02814533	沙滩车
n07575726	晚餐
n02082791	土豚
n04068441	炼油厂
n03612010	凯奇
n01326291	微生物
n02839351	台球
n03898633	拼布
n02122725	汤姆
n03469903	麻袋
n10627252	灵魂伴侣
n04594828	切丝机
n04506289	乌克
n04465666	拖拉机
n02108551	藏獒
n03904183	人行横道
n03982430	台球桌
n12790430	疏疏
n02125311	美洲狮
n06266633	舰队街
n02375302	罗恩
n01537544	靛蓝束
n01747885	眼镜蛇
n10763383	服务员
n10376523	老人
n03095699	集装箱船
n03877472	睡衣
n10143172	祖父母
n03587205	灌溉沟
n02677718	作用
n04469003	有轨电车线路
n10320863	部长
n12189987	猴面包树
n01857079	雪雁
n11876634	花椰菜
n03884926	万神殿
n02367492	龙猫
n01602832	红眼睛绿绿色
n04204347	购物车
n07612137	巴夫洛娃
n01693783	变色龙
n03791235	机动车
n02841315	双筒望远镜
n02922292	土墩
n02123597	暹罗猫
n09362945	穆尔
n12782530	Sundew
n02416104	奥达德
n03924679	影印机
n04153025	纱门
n03792048	丘丘
n03113152	美容的
n11866248	蜘蛛花
n01614343	金鹰
n11901977	东方罂粟
n01852142	木鸭
n03647520	火箭发射器
n07590320	古莱什
n04350458	绒面布
n01477525	鳗鱼
n07716358	西葫芦
n01580077	松鸦
n10116702	未来主义者
n02649546	平头
n11545714	蕨类植物
n03506370	健康水疗
n03073977	柱
n01814217	莫宁鸽
n04459610	拖
n03101517	饼干切割器
n02504013	印度象
n03574816	工具
n03116530	柜台
n07705931	食用水果
n10672371	苏菲
n12622875	农业
n03536122	水平安定面
n02307325	帐篷毛虫
n12620546	髋关节
n03179701	书桌
n04422727	保温瓶
n11544015	肝
n02316707	棘皮动物
n03680355	游手好闲者
n09505153	精神领袖
n02081571	海象
n02087046	玩具梗
n15075141	卫生纸
n01841679	歪歪扭扭的
n09934774	科菲尔
n02813645	集市
n07869775	卡博
n02377703	马鞍
n01591123	红胸纳特哈奇
n02382437	小马
n02933112	内阁
n10208950	总检察长
n10682953	甜心
n07619004	奶油冻
n06277135	无线电
n02113335	卷毛狗
n10085869	未婚夫
n02667379	修道院
n12719944	花园
n13136556	坚果
n03967562	犁耕犁
n11901759	冰岛罂粟
n03062122	鸡尾酒休息室
n02086753	查尔斯国王猎犬
n03903868	底座
n10465451	早产儿
n03795976	电影放映机
n14976759	潘蒂尔
n07751148	油桃
n02843158	鸟巢
n03595860	喷气式飞机
n07907429	黑麦
n04409806	网球拍
n02906734	扫帚
n01848648	维珍
n01847806	绿头野鸭
n11644046	西部红雪松
n04402449	电杆
n02097047	迷你雪纳瑞
n13135832	种子
n04372370	开关
n12252168	短肢畸形
n03372549	长笛
n07687381	法式面包
n02681392	土坯
n01604330	猛禽
n12293723	龙胆
n07830593	辣酱
n07819769	旱金莲
n07560903	饮食
n03785016	轻便摩托车
n07903643	苹果白兰地
n02870880	书柜
n03324928	疲劳
n04528968	游标卡尺
n07880080	照烧
n03626760	门环
n07879174	苏崎
n12574866	戈尔泽
n03454707	光栅格栅
n11916696	Yarrow
n03320421	风机叶片
n04222210	单人床
n07923748	果汁
n02312427	蛹
n01791625	鸡
n12171316	普通Mallow
n10296176	马歇尔
n09843443	蝙蝠男孩
n12400720	菠萝
n03770954	貂皮貂皮大衣
n03441112	手套
n09191635	气泡
n07893528	起泡酒
n04123740	鞍
n03444034	去卡丁车
n03631922	漆器
n10082043	岳父
n09622302	情人
n04565375	武器
n04417809	剧院
n14698884	碎石
n01792042	小鸡
n01548492	阿肯色州王鸟
n09873348	争吵者
n02075927	羽状哺乳动物
n12260799	山毛榉
n04610676	院子
n12056217	女式拖鞋
n01809106	珍珠鸡
n03206718	伪装
n01339083	单纯疱疹1
n02108672	斗牛犬
n02132136	棕熊
n07841800	复活节彩蛋
n02018368	旧大陆库特
n04225031	坐浴
n12710295	柑橘
n10303814	市长
n02499316	波托
n10142747	奶奶
n01806567	鹌鹑
n09770179	副官
n07834507	蛋黄酱
n10422405	集邮家
n01850192	水牛头
n03529175	家庭房
n02802215	篮筐
n02578771	Amberjack
n02395406	猪
n03861271	支腿
n03795758	运动
n01619536	秃鹰
n12291959	草原龙胆
n03662719	救生圈
n02396427	野猪
n03797390	杯子
n01985128	小龙虾
n12727101	脓柳
n02208280	蜜蜂
n07774842	松子
n13154494	叶状体
n02077923	海狮
n01438581	泥鳅
n01623706	猫头鹰
n01856155	甘德
n12822955	常见紫草
n07772788	榛子
n07726796	菜豆
n10467395	美国总统
n03158186	达查
n02226429	蝗虫
n07743544	蓝莓
n03349771	一垒
n02734725	建筑学
n02504458	非洲象
n03887697	纸巾
n01857632	Honker
n12607456	菠萝
n04593866	雨刷器
n01504179	幼稚
n09683757	佛教徒
n03114379	舒适
n02134084	北极熊
n11715430	水仙花
n02797692	底座
n01605630	鹰
n07824702	辣椒粉
n04559451	水龙头
n02788021	横幅
n03884778	万神殿
n02078574	加利福尼亚海狮
n04597913	木勺
n12244153	杜鹃花
n04228054	滑雪
n07823698	蔓越莓酱
n10578471	参议员
n04263502	汤匙
n02676566	原声吉他
n04459362	毛巾
n03614007	键盘
n02932693	客舱
n02754656	中庭
n04037220	兔笼
n01609062	燕尾风筝
n02815834	烧杯
n10613996	扣杀
n07560652	票价
n03498781	掀背车
n03447447	贡多拉
n03320959	扇灯
n07925966	水果饮料
n03160740	锦缎
n12102133	草
n04590021	靠窗的座位
n10091564	食火者
n02016816	赤眼鸡
n08571898	跳蚤市场
n03993180	小袋
n03568117	指示器
n04238617	幻灯机
n01560419	布尔布尔
n07719213	芦笋
n04461879	玩具
n04496614	薄纱
n02233338	蟑螂
n04355267	太阳甲板
n03724870	面具
n04080833	呼吸器
n01960459	牡蛎
n04380346	台刀
n03506727	助听器
n12387839	紫罗兰
n03309808	织物
n12570394	日本槐树
n03359137	手电筒
n12093329	仙客来
n07847198	奶油
n04584373	威格姆
n01323599	纯种
n04205318	短裤
n03620967	厨房餐桌
n07680932	面包卷
n03250847	鼓槌
n02331046	老鼠
n07905979	龙舌兰酒
n02799071	棒球运动
n04546340	随身听
n09199101	花托
n02177972	象甲
n07651025	泥
n09915434	Khufu
n09941964	指挥官
n02995345	中央处理器
n07871810	肉条
n10508710	读者
n10665698	学生
n03733281	迷宫迷宫
n12095020	韭菜
n12427566	老虎莉莉
n03475823	美发
n03480719	哈克莫尔笼头
n04133789	凉鞋
n12485653	蝴蝶丛
n11972759	鼠尾草属
n03200701	餐厅
n10753442	村民
n02667478	修道院
n07928887	根啤酒
n02527271	海鳗
n03026907	计时器
n02008041	苍鹭
n02073250	海牛
n09453008	高原高原
n03814906	项链
n03325941	Fedora
n01872401	针鼹
n12300840	橄榄树
n07712382	快餐食品
n01796340	松鸡
n03176386	义齿
n03657511	紧身衣
n07769584	温柏
n07712559	薯片
n04590553	挡风玻璃
n07588947	炖
n01841288	黄腹吸盘
n01606522	苍鹰
n02409508	布法罗角
n04447276	马桶粉
n02732072	水族馆
n11599324	韦尔维希亚
n13100677	藤
n10267311	小弟弟
n10055410	女巫
n10261624	轻重量级
n07901457	马斯喀特
n11704093	真正的月桂
n02427724	沃特巴克
n13108841	针叶树
n04191943	避难所
n04212165	穿梭巴士
n03220237	Dolmen
n03663531	救生器
n09620794	土著
n02977330	羊绒
n07736692	菠菜
n02963159	开衫
n10465831	长老
n03727837	垫子
n01947396	青春痘
n02835915	自行车座椅
n03528901	本垒板
n12732491	黑杨
n07608429	牛轧棒
n07817871	茴香
n12709103	柚子
n04579986	白色
n04536866	小提琴小提琴
n07687626	意大利面包
n03772584	分针
n10243137	女士
n01884834	塔斯马尼亚魔鬼
n11968704	Joe Pye Weed
n12974987	粘液模
n02821627	卧室
n04381994	餐具
n03483230	手铃
n09381242	露头
n10093818	鱼贩子
n03735637	量尺
n04168840	地震仪
n02780815	芭蕾舞裙
n01879509	树袋鼠
n01909906	息肉
n09720256	拉丁美洲
n04241249	滑上
n02710324	消声室
n07694659	酥饼
n10522035	代表
n04376876	注射器
n07883031	填满
n10178216	击球手
n01587526	猫鸟
n04171629	半自动手枪
n09789566	截肢者
n03452449	粮仓
n07731284	菊苣
n01829869	虎杖
n04225987	滑板
n12858871	蜂胶
n07588193	馄饨
n06272290	电话
n03429288	量规
n01531512	剑麻
n04239436	吊带
n02667576	修道院
n04008385	生产线
n09409752	里奇
n02083346	犬
n09416076	岩石
n03122295	有盖货车
n02803349	低音的
n02790823	带刺铁丝
n04269944	铲
n03202354	餐桌
n04304680	起动门
n01851731	小鸭
n04508163	内衣
n02276749	白衣上将
n03751757	金属探测器
n03548533	残骸
n10748620	非常重要的人
n03256928	地牢
n03147509	杯子
n02563792	蓝鳃
n02703275	弹药
n04093625	溜冰场
n07928790	百事可乐
n04310018	蒸汽机车
n03236423	挖泥船
n03801533	音乐厅
n12301180	橄榄
n07733394	秋葵
n03040376	洁净室
n03457902	温室
n07591049	爱尔兰炖菜
n01818832	凯亚
n07614730	冰淇淋锥
n02728440	服装
n02006364	神圣的朱鹭
n09689435	阿富汗
n07573347	垃圾邮件
n03656484	透镜
n03488188	手锯
n01819734	鹦鹉
n02406174	奶牛
n02423022	瞪羚
n12927013	木薯
n02666943	屠宰场
n04202417	商店
n07906284	威士忌
n04137444	卫星
n02115641	野狗
n01536035	切碎麻雀
n01559804	木鹅口蘑
n02034661	高跷
n03086580	音乐厅
n01641391	豹蛙
n10487182	修枝剪
n11727091	哥伦布
n03696568	耳帆
n03670208	豪华轿车
n02430045	鹿
n07575984	晚饭
n03067339	冷霜
n07600285	泡泡糖
n11756092	阿拉伯树胶
n02898585	婚纱
n02302620	蚕
n10618342	足球运动员
n03502200	床头板
n04247736	小吃店
n01972541	墨鱼
n02419796	羚羊
n03496892	收割机
n02058594	信天翁
n07806221	沙拉
n12749679	瓦胡
n03794798	口器
n03326795	感觉
n04349401	低音炮
n02944459	伪装
n03728437	火柴
n09923673	公民
n03180969	探测器
n12610328	水葫芦
n07687469	法国面包
n04264914	航天器
n12867826	黄芩
n07895435	红葡萄酒
n11753355	红车轴草
n02200198	蚊子
n03088580	公寓
n02090622	猎狼犬
n04184880	鲨鱼皮
n03541269	医院船
n09270735	沙丘
n02310585	卷心菜
n08583292	裙边
n12712626	白蜡树
n02071294	虎鲸
n09861946	船夫
n03209910	软盘
n12889713	普通的马林
n02047045	黑头鸽
n02107683	伯尔尼山狗
n02726681	公寓楼
n11621950	香脂冷杉
n09303008	小山
n04556533	表壳
n09972010	表哥
n07607967	止咳药水
n02762508	奥特斯特拉达
n07750449	香木缘
n04039381	球拍
n04453666	顶部
n07605040	棉花糖
n01741943	蟒蛇
n02686568	飞机
n03843438	油布
n04562935	水塔
n07903731	亚文邑
n12997654	担子菌
n03475581	发刷
n09792555	祖先
n08640531	度假村
n03494706	马具
n02387093	珀切隆
n03123809	牛棚
n10804287	年轻的巴克
n02056570	企鹅王
n03249342	药店
n03332005	纤维光束镜
n02161457	传粉者
n07906877	玉米威士忌
n03390983	框架
n03745571	门希尔
n02377388	阉割
n04613939	赞博尼
n03888257	降落伞
n12115180	帕帕斯草
n04402984	电话线
n02272871	耳蜗
n02494079	松鼠猴
n02607072	银莲花
n03773504	导弹
n03937835	皮箱
n02809241	巴蒂斯特
n12711984	酸橙
n07615460	草莓冰淇淋
n03200357	餐车
n03822171	报纸
n02407276	加洛韦
n07643306	果冻
n02603317	梭鱼
n13103877	障碍
n04147183	纵帆船
n03643737	激光打印机
n02813399	凸窗
n01538630	降雪
n10241300	劳动者
n01608814	黑风筝
n02918112	斗牛场
n07616386	帕菲特
n02760199	自动售货机
n12515711	鹰嘴豆
n12801781	沼泽之星
n04378956	塔比
n09779790	农学家
n09974648	工匠
n12037691	坎特伯雷钟
n04399537	高尔夫球座
n04011827	螺旋桨
n03424325	防毒面具
n04383839	塔夫绸
n01621635	猫头鹰
n03078287	通信系统
n04265904	航天火箭
n02578928	黄尾丝氨酸
n11552386	种子植物
n12179122	棉花玫瑰
n04277493	心轴
n03149686	路缘石
n04052442	牧场
n03928814	钢琴键盘
n01614925	秃鹰
n04236377	袖子
n07685399	爱尔兰苏打面包
n04069434	反射式照相机
n07929172	滋补剂
n02118333	狐狸
n03989898	邮局
n12050533	卡特莉亚
n01539573	麻雀
n02364673	豚鼠
n13003522	胭脂蘑菇
n01849863	红鸭子
n12345280	石榴
n02410509	野牛
n03760671	显微镜
n02076196	密封
n12480456	块糖
n11870747	艾丽丝
n03075370	组合锁
n10563403	扰频器
n07749192	脐橙
n03337140	文件
n02954163	帆布帐篷
n07694839	硬面包
n09846755	养蜂人
n10137825	缆车
n03457686	青菜
n03041810	清白的神职人员
n03257586	复印机
n04516116	瓮
n02047260	默里
n03935335	小猪存钱罐
n04091693	索具
n04569822	楔形
n03438071	腰带
n11620673	冷杉
n03738472	机制
n03552749	水翼
n04411264	帐篷
n01820052	爱鸟
n04332243	过滤器
n03819595	网
n15102894	旋钮
n12641413	樱桃树
n02060411	剪开水
n02979399	盒式磁带
n12566331	紫檀
n04294879	马厩
n03719343	壁炉架
n02005399	Shoebill
n08573842	垃圾堆
n03965456	广场
n04051825	城墙
n02068974	海豚
n04179913	缝纫机
n12651229	火棘
n12483427	亚当的针
n10112129	僧侣
n03080497	罗盘
n07723177	葱
n07905038	朗姆酒
n03388183	钢笔
n09805324	弓箭手鲍曼
n03801353	音乐盒
n02153109	大游戏
n01582398	欧洲喜鹊
n07725531	绿豌豆
n09705124	埃塞俄比亚人的
n07823460	萨尔萨
n04592005	酒桶
n02804123	低音吉他
n02376791	小马
n02927161	肉店
n02005790	宜必思
n02139671	果蝠
n10157128	中卫
n04038440	机架
n04551055	仓库
n03546340	住房
n01872772	针鼹
n07841495	煮鸡蛋
n09988063	爸爸
n04187547	流
n09890749	候选人
n12860365	罗勒
n03241335	饮水机
n02085936	马耳他狗
n04487394	长号
n01586374	仙人掌鹪鹩
n01596273	马丁银行
n02346627	豪猪
n11928352	蒿属
n04467307	拖车
n03709823	邮袋
n03782006	班长
n12373100	木瓜
n10345015	南
n07590502	杂烩
n13108481	幼树
n09815790	助手
n03359566	瓶
n02871963	飞镖
n04335693	街头服装
n09712696	马来
n10087434	战斗机飞行员
n04196502	海运
n01797601	松鸡鼠尾草
n09361517	山腰
n07743902	蔓越莓
n03296328	悬崖
n04530283	垂直尾翼
n03914106	佩普鲁姆
n01953762	老虎宝贝
n04447028	抽水马桶
n07921455	苹果酒
n09432283	壳
n02687172	航空母舰
n04105893	房间
n04452757	工具棚
n03482405	阻碍
n04209239	浴帘
